epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.486,1.29768,2.50068,1.54757,0.39715,0.42262,0.34933,0.14683,1.4403,2.79647,2.0534,0.00055011,0.00055011,0.00055011
2,135.975,1.47896,2.36289,1.64581,0.4448,0.35714,0.34227,0.16636,1.55454,2.69071,2.15799,0.00105104,0.00105104,0.00105104
3,207.001,1.51622,2.27046,1.72208,0.59622,0.41667,0.44686,0.19055,1.59555,3.32983,2.39618,0.00149696,0.00149696,0.00149696
4,281.875,1.5765,2.20609,1.71863,0.33491,0.36268,0.29862,0.13253,1.67645,2.378,2.12162,0.00141945,0.00141945,0.00141945
5,361.574,1.50594,2.08933,1.68864,0.54316,0.47024,0.44065,0.21898,1.45824,1.96264,1.99516,0.00133693,0.00133693,0.00133693
6,442.608,1.48821,2.03951,1.68731,0.50101,0.35119,0.40024,0.1723,1.62399,1.93546,2.12103,0.00125442,0.00125442,0.00125442
7,529.861,1.46436,1.95605,1.64749,0.69101,0.5,0.56135,0.31151,1.35521,1.78115,1.83385,0.0011719,0.0011719,0.0011719
8,623.233,1.42321,1.93318,1.61143,0.5944,0.44488,0.46091,0.27524,1.34974,1.78066,1.82055,0.00108938,0.00108938,0.00108938
9,704.901,1.38279,1.8293,1.59053,0.63844,0.53571,0.53436,0.30811,1.26854,1.62023,1.73733,0.00100687,0.00100687,0.00100687
10,787.528,1.36769,1.71144,1.55495,0.70073,0.52961,0.60047,0.36579,1.26548,1.57163,1.75666,0.000924352,0.000924352,0.000924352
11,876.035,1.41912,1.86742,1.63503,0.80163,0.47619,0.5873,0.35161,1.24938,1.64296,1.73682,0.000841835,0.000841835,0.000841835
12,957.097,1.34351,1.71978,1.57677,0.85968,0.5,0.63686,0.41671,1.12159,1.40049,1.5899,0.000759318,0.000759318,0.000759318
13,1037.34,1.30605,1.69581,1.57289,0.7799,0.58333,0.66562,0.42916,1.12619,1.35357,1.61049,0.000676802,0.000676802,0.000676802
14,1112.55,1.27538,1.58605,1.51904,0.80755,0.5745,0.66988,0.44631,1.09677,1.27391,1.54391,0.000594286,0.000594286,0.000594286
15,1190.27,1.23796,1.50525,1.45611,0.76613,0.58929,0.67005,0.4448,1.16943,1.28659,1.62888,0.000511769,0.000511769,0.000511769
16,1262.24,1.19768,1.47196,1.46488,0.83825,0.52442,0.65381,0.45046,1.08454,1.31871,1.55509,0.000429253,0.000429253,0.000429253
17,1333.39,1.14939,1.40712,1.42098,0.79167,0.58812,0.6805,0.46478,1.07357,1.27678,1.55491,0.000346736,0.000346736,0.000346736
18,1408.08,1.12297,1.31645,1.39239,0.7431,0.55952,0.656,0.44334,1.09906,1.22845,1.56069,0.00026422,0.00026422,0.00026422
19,1488.52,1.0937,1.28024,1.37008,0.8241,0.55776,0.67563,0.4596,1.0771,1.18101,1.5534,0.000181703,0.000181703,0.000181703
20,1572.43,1.07453,1.21882,1.35326,0.81344,0.57738,0.70041,0.48314,1.06126,1.18407,1.54502,9.91865e-05,9.91865e-05,9.91865e-05
