epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.14,1.81405,1.64102,1.39324,0.40952,0.46011,0.29798,0.13232,1.77372,2.64463,1.5882,0.000546704,0.000546704,0.000546704
2,229.216,1.79649,1.37588,1.4424,0.46214,0.24652,0.19958,0.0757,2.36531,3.20699,1.93002,0.00108054,0.00108054,0.00108054
3,253.62,1.8315,1.3656,1.45137,0.40438,0.42784,0.28059,0.11446,1.9515,4.80404,1.68045,0.00159238,0.00159238,0.00159238
4,274.42,1.77912,1.37648,1.44543,0.56026,0.52452,0.51951,0.25085,1.71705,2.14929,1.42115,0.00156798,0.00156798,0.00156798
5,295.096,1.74198,1.2717,1.40064,0.61282,0.45758,0.49687,0.23432,1.72441,1.29802,1.4068,0.00153497,0.00153497,0.00153497
6,315.484,1.69183,1.20702,1.3773,0.69881,0.50312,0.56184,0.26573,1.67174,1.85968,1.39871,0.00150197,0.00150197,0.00150197
7,336.115,1.69115,1.18649,1.36035,0.64966,0.53065,0.57766,0.28233,1.6528,1.23791,1.36085,0.00146896,0.00146896,0.00146896
8,356.772,1.6656,1.15583,1.35352,0.67688,0.53287,0.60407,0.30155,1.62445,1.21993,1.35566,0.00143595,0.00143595,0.00143595
9,377.068,1.63201,1.11721,1.32595,0.70275,0.53643,0.57805,0.27548,1.6529,1.12809,1.34678,0.00140295,0.00140295,0.00140295
10,397.342,1.6054,1.08976,1.29681,0.62783,0.62694,0.62927,0.30527,1.61251,1.1514,1.31052,0.00136994,0.00136994,0.00136994
11,417.615,1.58778,1.09538,1.3049,0.70478,0.59716,0.6494,0.32313,1.56889,1.05245,1.30218,0.00133693,0.00133693,0.00133693
12,438.246,1.56615,1.04464,1.28893,0.69203,0.61686,0.66089,0.33481,1.56099,1.14765,1.30612,0.00130393,0.00130393,0.00130393
13,460.014,1.5442,1.05839,1.28172,0.73804,0.57263,0.65749,0.33137,1.62097,1.0554,1.33735,0.00127092,0.00127092,0.00127092
14,481.085,1.52563,1.01249,1.25124,0.74408,0.63702,0.69672,0.35544,1.51357,1.04199,1.2797,0.00123791,0.00123791,0.00123791
15,503.598,1.53251,1.00374,1.25395,0.77053,0.65976,0.70654,0.37003,1.51992,0.93786,1.28479,0.00120491,0.00120491,0.00120491
16,525.787,1.50419,0.98543,1.25741,0.74303,0.65136,0.71214,0.3704,1.48381,0.94286,1.2631,0.0011719,0.0011719,0.0011719
17,548.154,1.4932,0.96257,1.25948,0.7836,0.63555,0.71079,0.36997,1.50335,0.93721,1.26892,0.00113889,0.00113889,0.00113889
18,570.337,1.46513,0.92964,1.22203,0.81005,0.65175,0.722,0.37508,1.47974,0.95543,1.26432,0.00110589,0.00110589,0.00110589
19,592.322,1.46518,0.93684,1.23501,0.83204,0.67809,0.7534,0.39141,1.47179,0.89709,1.25247,0.00107288,0.00107288,0.00107288
