epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.464,1.49389,1.70635,1.43991,0.21836,0.25832,0.19792,0.08702,1.86926,2.71052,1.86578,0.000553845,0.000553845,0.000553845
2,324.661,1.90209,2.10184,1.75437,0.65644,0.10759,0.09072,0.03577,2.59314,2.81505,2.4208,0.00109853,0.00109853,0.00109853
3,442.182,1.8871,2.16107,1.77646,0.73371,0.16411,0.18286,0.07891,2.00901,2.58691,1.88017,0.00163221,0.00163221,0.00163221
4,559.353,1.80994,2.05407,1.70362,0.78316,0.2046,0.23737,0.1088,1.87083,1.95234,1.75087,0.00161749,0.00161749,0.00161749
5,675.886,1.80123,1.99078,1.67637,0.79368,0.2159,0.26071,0.12695,1.7453,1.96982,1.67654,0.00160099,0.00160099,0.00160099
6,789.025,1.7209,1.90612,1.62553,0.80584,0.22634,0.27671,0.13906,1.71976,1.8129,1.67086,0.00158448,0.00158448,0.00158448
7,903.333,1.6809,1.83328,1.6065,0.35803,0.28803,0.28561,0.14826,1.67519,1.7874,1.63495,0.00156798,0.00156798,0.00156798
8,1011.31,1.6469,1.80799,1.59159,0.60508,0.2567,0.29185,0.154,1.64912,1.78599,1.59914,0.00155148,0.00155148,0.00155148
9,1105.6,1.62436,1.78667,1.57004,0.39689,0.32,0.31074,0.16156,1.61722,1.70058,1.59424,0.00153497,0.00153497,0.00153497
10,1199.39,1.58457,1.68019,1.54102,0.42029,0.28416,0.30774,0.1625,1.63289,1.70267,1.6021,0.00151847,0.00151847,0.00151847
11,1297.82,1.57429,1.67558,1.53824,0.61005,0.28345,0.33077,0.17652,1.59658,1.67493,1.56576,0.00150197,0.00150197,0.00150197
12,1392.69,1.55592,1.64946,1.52037,0.33031,0.35602,0.33387,0.18066,1.55929,1.58517,1.54384,0.00148546,0.00148546,0.00148546
13,1486.29,1.52286,1.63068,1.50988,0.42254,0.35211,0.33532,0.17759,1.54802,1.6782,1.542,0.00146896,0.00146896,0.00146896
14,1580.58,1.52166,1.58513,1.49028,0.42415,0.35772,0.3591,0.19187,1.52462,1.54539,1.51894,0.00145246,0.00145246,0.00145246
15,1675.35,1.49606,1.57472,1.48052,0.40459,0.3832,0.35689,0.19719,1.53398,1.54855,1.51245,0.00143595,0.00143595,0.00143595
16,1770.02,1.48584,1.56307,1.48288,0.36396,0.39759,0.3528,0.18887,1.53874,1.53026,1.52657,0.00141945,0.00141945,0.00141945
17,1866.34,1.48008,1.52934,1.46772,0.40222,0.37491,0.35435,0.19571,1.51783,1.53515,1.51152,0.00140295,0.00140295,0.00140295
18,1963.7,1.45361,1.52415,1.45961,0.38472,0.38416,0.36549,0.205,1.48036,1.47656,1.49659,0.00138644,0.00138644,0.00138644
19,2061.04,1.44113,1.49707,1.4425,0.50209,0.35897,0.36876,0.2014,1.48377,1.4934,1.48989,0.00136994,0.00136994,0.00136994
20,2158.36,1.41537,1.46217,1.43884,0.45413,0.38227,0.39059,0.21614,1.45894,1.45207,1.47725,0.00135344,0.00135344,0.00135344
21,2256.35,1.42216,1.48121,1.43675,0.41335,0.39015,0.37714,0.21254,1.46897,1.45117,1.48813,0.00133693,0.00133693,0.00133693
22,2355.18,1.41849,1.45944,1.42816,0.37978,0.39783,0.3757,0.21626,1.44192,1.45573,1.4744,0.00132043,0.00132043,0.00132043
23,2450.42,1.39552,1.40969,1.41434,0.47197,0.38807,0.38745,0.22068,1.4538,1.44523,1.46463,0.00130393,0.00130393,0.00130393
24,2547.93,1.39175,1.41179,1.41473,0.47632,0.40586,0.40838,0.2338,1.43208,1.37598,1.45381,0.00128742,0.00128742,0.00128742
25,2646.02,1.38381,1.41334,1.4067,0.47159,0.41816,0.40612,0.22754,1.44974,1.41109,1.47107,0.00127092,0.00127092,0.00127092
26,2744.53,1.37616,1.37183,1.39015,0.47837,0.42672,0.42662,0.24405,1.42086,1.373,1.44351,0.00125442,0.00125442,0.00125442
27,2843.09,1.36295,1.36868,1.39331,0.50643,0.39125,0.41276,0.23621,1.42295,1.36299,1.44451,0.00123791,0.00123791,0.00123791
28,2937.22,1.35434,1.35223,1.38416,0.45091,0.44408,0.42476,0.2416,1.42271,1.36119,1.44575,0.00122141,0.00122141,0.00122141
29,3034.33,1.3359,1.33005,1.36784,0.47433,0.41581,0.41867,0.2348,1.41162,1.33472,1.44115,0.00120491,0.00120491,0.00120491
30,3131.76,1.32912,1.32504,1.37168,0.44968,0.44481,0.43221,0.24783,1.39257,1.31943,1.41412,0.0011884,0.0011884,0.0011884
31,3229.89,1.30754,1.30015,1.35413,0.44509,0.43818,0.41227,0.23735,1.4097,1.34838,1.44231,0.0011719,0.0011719,0.0011719
32,3325.48,1.31839,1.30091,1.36268,0.51641,0.43782,0.44132,0.25658,1.3826,1.29244,1.41657,0.0011554,0.0011554,0.0011554
33,3418.23,1.30715,1.29111,1.34982,0.46882,0.4381,0.42249,0.2472,1.37891,1.30857,1.42169,0.00113889,0.00113889,0.00113889
34,3512.04,1.30053,1.27322,1.35365,0.49239,0.44051,0.43273,0.24889,1.38682,1.31073,1.42195,0.00112239,0.00112239,0.00112239
35,3606.09,1.2919,1.25658,1.34684,0.5299,0.43898,0.43864,0.25024,1.36918,1.27339,1.41166,0.00110589,0.00110589,0.00110589
36,3700.36,1.27551,1.2431,1.33381,0.53694,0.44377,0.44736,0.25211,1.42429,1.29463,1.44963,0.00108938,0.00108938,0.00108938
37,3800.3,1.27829,1.24654,1.33712,0.52533,0.43996,0.44341,0.25949,1.39857,1.2859,1.43734,0.00107288,0.00107288,0.00107288
38,3897.56,1.27045,1.22526,1.327,0.52764,0.45076,0.4516,0.26417,1.35352,1.25344,1.40228,0.00105638,0.00105638,0.00105638
39,3994.86,1.25497,1.20208,1.32227,0.49708,0.46262,0.45634,0.26492,1.36873,1.23788,1.39663,0.00103987,0.00103987,0.00103987
40,4088.2,1.24891,1.19677,1.31187,0.51831,0.45809,0.45359,0.26472,1.35943,1.24886,1.40132,0.00102337,0.00102337,0.00102337
41,4182.04,1.24308,1.19839,1.31183,0.57979,0.4273,0.45639,0.26733,1.34688,1.26491,1.38673,0.00100687,0.00100687,0.00100687
42,4275.73,1.24723,1.17748,1.3117,0.55615,0.45808,0.47221,0.2763,1.35452,1.21168,1.40343,0.000990365,0.000990365,0.000990365
43,4369.04,1.23589,1.17228,1.29962,0.50851,0.45323,0.45101,0.26762,1.34545,1.23011,1.39653,0.000973861,0.000973861,0.000973861
44,4463.08,1.21466,1.16203,1.29379,0.53392,0.46154,0.45831,0.26666,1.35224,1.22058,1.3935,0.000957358,0.000957358,0.000957358
45,4557.44,1.21022,1.14702,1.29596,0.56167,0.45156,0.46413,0.27398,1.33115,1.22419,1.37969,0.000940855,0.000940855,0.000940855
46,4651.46,1.21799,1.14138,1.29543,0.50033,0.47894,0.4641,0.26944,1.33432,1.20849,1.38629,0.000924352,0.000924352,0.000924352
47,4747.23,1.20605,1.13298,1.28486,0.57581,0.45244,0.48115,0.28181,1.3523,1.19816,1.39283,0.000907848,0.000907848,0.000907848
48,4841.93,1.20785,1.14264,1.2904,0.54592,0.48282,0.48005,0.2823,1.34267,1.19168,1.37971,0.000891345,0.000891345,0.000891345
49,4934.93,1.20484,1.12927,1.28372,0.52145,0.4637,0.47184,0.27753,1.33597,1.20293,1.38065,0.000874842,0.000874842,0.000874842
50,5028.09,1.19379,1.11759,1.27496,0.51487,0.48789,0.47756,0.28478,1.33067,1.19393,1.37401,0.000858338,0.000858338,0.000858338
51,5123.63,1.19761,1.11143,1.27296,0.51365,0.46675,0.46366,0.27417,1.35911,1.21208,1.39392,0.000841835,0.000841835,0.000841835
52,5220.58,1.16975,1.08253,1.25469,0.53234,0.4918,0.47946,0.28735,1.33045,1.16971,1.3727,0.000825332,0.000825332,0.000825332
53,5318.63,1.17005,1.07366,1.25584,0.545,0.47053,0.47379,0.28901,1.32069,1.17322,1.36506,0.000808828,0.000808828,0.000808828
54,5416.45,1.16809,1.07331,1.25462,0.55555,0.47623,0.48857,0.28538,1.32994,1.17304,1.37817,0.000792325,0.000792325,0.000792325
55,5513.67,1.1622,1.05267,1.25424,0.51325,0.4839,0.48228,0.29076,1.3092,1.16951,1.36253,0.000775822,0.000775822,0.000775822
56,5612.49,1.16598,1.04647,1.24662,0.52726,0.49446,0.47849,0.29098,1.30151,1.14128,1.35178,0.000759318,0.000759318,0.000759318
57,5708.94,1.15047,1.04083,1.24735,0.55734,0.46751,0.48126,0.28586,1.32089,1.15459,1.37659,0.000742815,0.000742815,0.000742815
58,5801.83,1.14581,1.02321,1.23997,0.53589,0.47828,0.48491,0.28988,1.3094,1.13811,1.36593,0.000726312,0.000726312,0.000726312
59,5897.43,1.13799,1.0184,1.24032,0.56604,0.492,0.49669,0.30003,1.30703,1.14066,1.36922,0.000709809,0.000709809,0.000709809
60,5995.16,1.12047,1.01336,1.23365,0.5459,0.47417,0.48124,0.28901,1.30439,1.14818,1.35942,0.000693305,0.000693305,0.000693305
61,6095.09,1.12248,1.00648,1.23217,0.56647,0.48787,0.49057,0.29536,1.30776,1.13938,1.36304,0.000676802,0.000676802,0.000676802
62,6195.19,1.1051,0.99473,1.21725,0.57207,0.46153,0.4857,0.2946,1.30862,1.14768,1.36873,0.000660299,0.000660299,0.000660299
63,6295.14,1.10692,0.97289,1.21664,0.56312,0.49536,0.49772,0.30175,1.28907,1.11785,1.35522,0.000643795,0.000643795,0.000643795
64,6395.64,1.10248,0.98054,1.21867,0.58242,0.47262,0.48657,0.29532,1.31208,1.1545,1.37281,0.000627292,0.000627292,0.000627292
65,6494.3,1.10107,0.98464,1.21519,0.60476,0.48312,0.50631,0.30238,1.30451,1.12354,1.36361,0.000610789,0.000610789,0.000610789
66,6591.1,1.07882,0.95924,1.21205,0.56557,0.47849,0.49094,0.29662,1.30316,1.13458,1.35533,0.000594286,0.000594286,0.000594286
67,6688.63,1.09235,0.96432,1.20507,0.58734,0.49159,0.50825,0.3039,1.30407,1.12581,1.36347,0.000577782,0.000577782,0.000577782
68,6799.54,1.09156,0.95395,1.20269,0.59263,0.48488,0.50766,0.30492,1.30242,1.12094,1.35314,0.000561279,0.000561279,0.000561279
69,6916.75,1.07975,0.92733,1.20168,0.55577,0.50452,0.50032,0.30065,1.32194,1.14552,1.3668,0.000544776,0.000544776,0.000544776
70,7033.66,1.0697,0.9414,1.20047,0.54583,0.49603,0.49763,0.30133,1.29395,1.13047,1.35398,0.000528272,0.000528272,0.000528272
71,7150.16,1.05569,0.92041,1.18861,0.59033,0.4755,0.50139,0.30203,1.29678,1.12152,1.35909,0.000511769,0.000511769,0.000511769
72,7266.89,1.06161,0.91158,1.18657,0.57826,0.48946,0.50513,0.29908,1.31712,1.10844,1.37183,0.000495266,0.000495266,0.000495266
73,7383.9,1.05799,0.89916,1.18442,0.54923,0.49386,0.49336,0.30068,1.29843,1.10372,1.36766,0.000478762,0.000478762,0.000478762
74,7500.94,1.0512,0.90249,1.18532,0.56752,0.49332,0.49963,0.30041,1.31421,1.11517,1.37404,0.000462259,0.000462259,0.000462259
75,7618.03,1.04267,0.89043,1.17554,0.54163,0.50115,0.49895,0.2971,1.30832,1.11773,1.36952,0.000445756,0.000445756,0.000445756
76,7714.01,1.02364,0.87169,1.16595,0.56287,0.50596,0.50494,0.30046,1.31337,1.12509,1.37647,0.000429253,0.000429253,0.000429253
77,7806.85,1.02855,0.86544,1.16698,0.58738,0.47904,0.51085,0.30453,1.29446,1.11064,1.36486,0.000412749,0.000412749,0.000412749
78,7899.64,1.03056,0.87813,1.16475,0.5713,0.51657,0.51601,0.31034,1.29099,1.09868,1.36456,0.000396246,0.000396246,0.000396246
79,7992.85,1.01782,0.86184,1.1619,0.62283,0.48335,0.52158,0.31269,1.30423,1.09331,1.36735,0.000379743,0.000379743,0.000379743
80,8085.88,1.0068,0.84414,1.16019,0.56918,0.49952,0.51232,0.30389,1.30761,1.10814,1.37353,0.000363239,0.000363239,0.000363239
81,8178.79,1.00693,0.83903,1.15558,0.56526,0.49602,0.50509,0.30352,1.30374,1.09781,1.3681,0.000346736,0.000346736,0.000346736
82,8271.56,0.99922,0.83942,1.15236,0.60784,0.48427,0.51277,0.30876,1.30159,1.09795,1.38055,0.000330233,0.000330233,0.000330233
83,8364.48,1.00246,0.83626,1.15276,0.60686,0.50788,0.52639,0.31278,1.31345,1.0957,1.37801,0.000313729,0.000313729,0.000313729
84,8457.54,1.00063,0.82436,1.15295,0.60373,0.49376,0.51648,0.31054,1.29573,1.08588,1.36882,0.000297226,0.000297226,0.000297226
85,8550.33,0.99312,0.81338,1.14532,0.59798,0.51008,0.51996,0.31354,1.30335,1.09771,1.37318,0.000280723,0.000280723,0.000280723
86,8643.4,0.9914,0.81332,1.14397,0.57724,0.50317,0.51526,0.31278,1.29982,1.0911,1.37359,0.00026422,0.00026422,0.00026422
87,8736.11,0.96991,0.79672,1.1384,0.61394,0.48905,0.51992,0.31223,1.28985,1.09794,1.36079,0.000247716,0.000247716,0.000247716
88,8828.9,0.97504,0.79486,1.13568,0.5736,0.50638,0.51878,0.31451,1.29387,1.09038,1.36494,0.000231213,0.000231213,0.000231213
89,8922.1,0.97043,0.78577,1.12815,0.64125,0.47346,0.51953,0.31096,1.29253,1.10101,1.35894,0.00021471,0.00021471,0.00021471
90,9015.12,0.96076,0.7783,1.12586,0.63604,0.48418,0.51963,0.31183,1.30111,1.10857,1.36676,0.000198206,0.000198206,0.000198206
91,9116.74,0.92626,0.72583,1.10187,0.62071,0.48871,0.51689,0.31194,1.30956,1.09379,1.38409,0.000181703,0.000181703,0.000181703
92,9209.46,0.90643,0.68681,1.08478,0.64394,0.48053,0.51822,0.31069,1.30674,1.09812,1.38129,0.0001652,0.0001652,0.0001652
93,9302.27,0.90369,0.68396,1.08275,0.62609,0.48444,0.51714,0.31189,1.30775,1.09655,1.38249,0.000148696,0.000148696,0.000148696
