epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,624.473,1.52068,1.63114,1.4404,0.43999,0.36033,0.341,0.17857,1.64539,1.78792,1.59937,0.000332265,0.000332265,0.0671058
2,857.568,1.66985,1.78786,1.56864,0.44342,0.34495,0.35115,0.18649,1.61333,2.0324,1.61006,0.000662304,0.000662304,0.0341025
3,1085.94,1.68251,1.80604,1.57606,0.38835,0.30154,0.31317,0.16396,1.65277,1.93588,1.60765,0.000989042,0.000989042,0.00109588
4,1313.31,1.67919,1.80005,1.57948,0.43884,0.36189,0.34936,0.17983,1.6118,1.75553,1.56306,0.00098515,0.00098515,0.00098515
5,1538.5,1.64364,1.74091,1.55213,0.40368,0.36098,0.33663,0.18105,1.59582,1.86779,1.547,0.0009802,0.0009802,0.0009802
6,1761.29,1.61552,1.71535,1.53685,0.47039,0.37875,0.38336,0.21245,1.5276,1.56139,1.49316,0.00097525,0.00097525,0.00097525
7,1984.06,1.59178,1.67435,1.51526,0.52359,0.37841,0.40594,0.22559,1.49496,1.51905,1.49073,0.0009703,0.0009703,0.0009703
8,2206.36,1.58218,1.65087,1.50041,0.52587,0.39137,0.41456,0.23238,1.45689,1.52541,1.48648,0.00096535,0.00096535,0.00096535
9,2430.74,1.54643,1.60859,1.48418,0.48346,0.39571,0.41395,0.23732,1.45764,1.6035,1.4517,0.0009604,0.0009604,0.0009604
10,2662.11,1.52502,1.58207,1.46952,0.52935,0.42271,0.44025,0.25556,1.41516,1.45896,1.42672,0.00095545,0.00095545,0.00095545
11,2894.19,1.51981,1.55822,1.46987,0.53344,0.43365,0.45223,0.25674,1.43794,1.42471,1.42297,0.0009505,0.0009505,0.0009505
12,3126.16,1.49602,1.5316,1.44695,0.51559,0.43273,0.44231,0.25274,1.42977,1.45345,1.42828,0.00094555,0.00094555,0.00094555
13,3361.97,1.48931,1.51815,1.44481,0.58846,0.41822,0.46352,0.26412,1.43388,1.39545,1.42133,0.0009406,0.0009406,0.0009406
14,3595.88,1.48387,1.5178,1.44003,0.52823,0.44399,0.45303,0.26228,1.42978,1.39213,1.42853,0.00093565,0.00093565,0.00093565
