epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.047,1.61288,4.17527,1.59621,0.28142,0.26768,0.23539,0.09369,2.0643,5.71149,2.01677,0.00033284,0.00033284,0.0670488
2,548.061,1.72739,4.61595,1.72499,0.41748,0.33454,0.32113,0.14822,1.88638,4.74726,1.85418,0.000662876,0.000662876,0.0340455
3,785.078,1.71311,4.60311,1.71771,0.40119,0.33224,0.31642,0.14285,1.87453,5.27592,1.82059,0.000989612,0.000989612,0.00103892
4,1020.99,1.68335,4.47865,1.70264,0.41255,0.3604,0.34946,0.16346,1.79761,4.4225,1.76095,0.00098515,0.00098515,0.00098515
5,1257.27,1.62909,4.26567,1.64898,0.49961,0.35924,0.37555,0.17658,1.82521,4.17261,1.77784,0.0009802,0.0009802,0.0009802
6,1493.05,1.59285,4.13387,1.62052,0.48416,0.38908,0.39608,0.20463,1.68286,3.8813,1.65533,0.00097525,0.00097525,0.00097525
7,1729.19,1.5732,4.00262,1.61339,0.51179,0.42514,0.44271,0.21835,1.67062,3.70457,1.6233,0.0009703,0.0009703,0.0009703
8,1964.99,1.54052,3.88802,1.58466,0.52428,0.43555,0.45069,0.22483,1.66352,3.69826,1.63964,0.00096535,0.00096535,0.00096535
9,2200.91,1.52667,3.82389,1.57397,0.50818,0.45953,0.46152,0.23773,1.65261,3.61349,1.61635,0.0009604,0.0009604,0.0009604
10,2437.01,1.50327,3.71255,1.54998,0.56801,0.43474,0.4805,0.25543,1.58969,3.46384,1.58109,0.00095545,0.00095545,0.00095545
11,2673.06,1.48149,3.61975,1.53241,0.54154,0.46083,0.48423,0.25654,1.56215,3.36234,1.54928,0.0009505,0.0009505,0.0009505
12,2908.98,1.46841,3.53667,1.52796,0.60757,0.43612,0.4955,0.25875,1.60789,3.42436,1.5866,0.00094555,0.00094555,0.00094555
13,3144.9,1.46078,3.55058,1.52171,0.57858,0.42871,0.48092,0.24298,1.64894,3.45353,1.60897,0.0009406,0.0009406,0.0009406
14,3380.87,1.46575,3.52429,1.52166,0.53417,0.46024,0.47766,0.267,1.50793,3.39179,1.53086,0.00093565,0.00093565,0.00093565
15,3617.39,1.44418,3.43893,1.50562,0.60049,0.46372,0.51266,0.26407,1.6486,3.39439,1.58753,0.0009307,0.0009307,0.0009307
16,3853.43,1.43906,3.40325,1.50328,0.59407,0.45207,0.49381,0.25422,1.60897,3.29326,1.57136,0.00092575,0.00092575,0.00092575
17,4089.33,1.43266,3.39476,1.50073,0.54781,0.45589,0.49164,0.25927,1.5676,3.38307,1.56278,0.0009208,0.0009208,0.0009208
18,4325.29,1.41797,3.34807,1.48857,0.60097,0.49708,0.5223,0.27737,1.54477,3.24999,1.53064,0.00091585,0.00091585,0.00091585
19,4560.89,1.41697,3.27717,1.48314,0.58484,0.49902,0.51637,0.28647,1.51531,3.28088,1.52968,0.0009109,0.0009109,0.0009109
20,4796.53,1.39699,3.22407,1.46733,0.63934,0.48538,0.54176,0.29974,1.47194,3.08985,1.49008,0.00090595,0.00090595,0.00090595
21,5032.53,1.3866,3.21885,1.46491,0.57784,0.50211,0.52804,0.29246,1.51184,3.08158,1.50801,0.000901,0.000901,0.000901
22,5267.79,1.38932,3.17257,1.46277,0.62032,0.48282,0.54523,0.30064,1.48511,3.04501,1.50676,0.00089605,0.00089605,0.00089605
