epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,241.508,1.65458,3.75883,1.2892,0.57408,0.51804,0.54345,0.32413,1.60706,3.97704,1.25325,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,409.581,1.92548,4.38259,1.42213,0.55119,0.43886,0.46278,0.2492,1.9981,4.61152,1.47187,0.0199743,0.00665809,0.0199743,0.00665809,0.0199743,0.00665809,0.0199743,0.00665809
3,564.646,2.23391,5.40761,1.59303,0.33867,0.32891,0.28331,0.12978,2.41284,9.91415,1.77729,0.0299687,0.00998957,0.0299687,0.00998957,0.0299687,0.00998957,0.0299687,0.00998957
4,715.141,2.42322,6.02688,1.70964,0.54031,0.2607,0.29962,0.14002,2.38802,7.61522,1.73797,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995
5,867.155,2.41908,5.86956,1.7161,0.48179,0.34982,0.3644,0.17632,2.30529,5.87423,1.69212,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112
6,1024.57,2.38029,5.70495,1.69527,0.49146,0.37708,0.38394,0.18582,2.24017,5.34489,1.66933,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613
7,1180.91,2.31171,5.57641,1.6723,0.43192,0.38492,0.37317,0.18295,2.21522,5.64149,1.62907,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003
8,1344.82,2.25895,5.43582,1.64608,0.48874,0.37886,0.38465,0.19122,2.23315,5.25465,1.65481,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282
9,1506.97,2.24318,5.33323,1.63718,0.46717,0.41597,0.40277,0.20903,2.11991,5.22653,1.59007,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452
10,1668.71,2.2225,5.27452,1.62389,0.50325,0.42109,0.41883,0.21322,2.10321,5.1797,1.58179,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511
11,1830.82,2.21286,5.17513,1.60605,0.51231,0.42299,0.4276,0.22085,2.0391,4.91523,1.54758,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446
12,1994.28,2.17006,5.09255,1.59701,0.52552,0.43736,0.44405,0.23111,2.04431,4.82719,1.55425,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299
13,2157.9,2.13598,4.94892,1.57474,0.57516,0.41654,0.46158,0.24279,1.98697,4.56126,1.52505,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029
14,2322.08,2.11276,4.85071,1.56314,0.55389,0.43906,0.45632,0.23942,2.03518,4.76981,1.54466,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065
15,2483.69,2.09905,4.821,1.55402,0.48938,0.47361,0.45834,0.24535,1.99521,4.49508,1.52053,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163
16,2645.57,2.09142,4.83693,1.5482,0.59943,0.44847,0.49008,0.26124,1.97158,4.3734,1.49981,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566
17,2810.88,2.05385,4.68717,1.53428,0.56004,0.45173,0.47347,0.26014,1.9328,4.3245,1.47376,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862
18,2974.8,2.0489,4.60265,1.53034,0.55103,0.45492,0.47383,0.25751,1.95585,4.32999,1.47926,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051
19,3138.13,2.0355,4.65275,1.53568,0.54647,0.46062,0.46597,0.25574,1.92039,4.37766,1.47997,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132
20,3298.56,2.03428,4.54069,1.51007,0.55186,0.47539,0.48064,0.25955,1.89654,4.22734,1.46122,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107
