epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2509,1.85233,2.58224,1.77966,0.03469,0.16845,0.01747,0.00591,nan,nan,nan,0.000553505,0.000553505,0.000553505
2,106.021,2.31214,2.99445,2.15938,0.0892,0.13366,0.044,0.01349,2.31251,13.2716,2.24322,0.00109819,0.00109819,0.00109819
3,157.503,2.36377,3.15807,2.24013,0.53697,0.02318,0.01258,0.00416,nan,nan,nan,0.00163187,0.00163187,0.00163187
4,208.71,2.32373,3.03956,2.19284,0.59228,0.09168,0.0606,0.0184,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,260.567,2.25729,3.05644,2.14036,0.61118,0.10274,0.07613,0.02382,2.14996,8.84357,2.09228,0.00160099,0.00160099,0.00160099
6,312.526,2.22256,3.00107,2.11649,0.21286,0.08836,0.09679,0.03281,2.0281,7.4284,1.99682,0.00158448,0.00158448,0.00158448
7,364.931,2.1833,2.97607,2.09952,0.66337,0.11486,0.09949,0.03292,2.02416,6.72392,1.9878,0.00156798,0.00156798,0.00156798
8,417.084,2.11014,2.93441,2.05632,0.18548,0.15392,0.09089,0.03213,1.99096,13.4887,1.95259,0.00155148,0.00155148,0.00155148
9,468.171,2.11417,2.97817,2.03904,0.15432,0.16892,0.11186,0.04095,1.9524,16.3309,1.91237,0.00153497,0.00153497,0.00153497
10,520.033,2.05901,2.82066,2.00173,0.19117,0.20419,0.14479,0.05186,1.92687,8.66205,1.88498,0.00151847,0.00151847,0.00151847
11,569.795,2.05319,2.7734,2.00503,0.29184,0.1574,0.14891,0.05424,1.89266,9.7947,1.8727,0.00150197,0.00150197,0.00150197
12,614.803,2.05267,2.7433,1.97707,0.22028,0.20029,0.15348,0.0586,1.84012,7.39028,1.82683,0.00148546,0.00148546,0.00148546
13,666.059,2.01066,2.70044,1.94783,0.26274,0.14462,0.13927,0.0509,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,717.191,1.97078,2.69917,1.92362,0.25014,0.21752,0.18795,0.07929,1.78907,7.26569,1.75017,0.00145246,0.00145246,0.00145246
15,769.31,1.95745,2.66171,1.90446,0.28933,0.19098,0.18315,0.072,1.8044,6.24192,1.7944,0.00143595,0.00143595,0.00143595
16,821.574,1.92599,2.53566,1.86374,0.218,0.26715,0.20914,0.08766,1.78245,7.00637,1.75412,0.00141945,0.00141945,0.00141945
17,873.369,1.91956,2.60298,1.87223,0.27475,0.21228,0.1965,0.07921,1.76421,5.57816,1.73784,0.00140295,0.00140295,0.00140295
18,921.567,1.90754,2.56697,1.86912,0.25276,0.21052,0.19144,0.07696,1.76026,5.56846,1.74611,0.00138644,0.00138644,0.00138644
19,973.664,1.884,2.5182,1.83695,0.4127,0.19243,0.19772,0.08242,1.71126,5.96577,1.69899,0.00136994,0.00136994,0.00136994
20,1026.5,1.90987,2.5273,1.86876,0.27262,0.22134,0.2161,0.08726,1.74353,5.03068,1.73381,0.00135344,0.00135344,0.00135344
21,1079.16,1.87209,2.52555,1.86518,0.28222,0.24097,0.21233,0.0865,1.75827,3.79435,1.74996,0.00133693,0.00133693,0.00133693
22,1131.2,1.89028,2.47697,1.86005,0.30238,0.26473,0.23508,0.09747,1.71818,5.36892,1.6889,0.00132043,0.00132043,0.00132043
23,1182.59,1.82606,2.44826,1.82038,0.30851,0.25443,0.22774,0.09939,1.66795,4.29573,1.68231,0.00130393,0.00130393,0.00130393
24,1233.73,1.83385,2.46383,1.83546,0.29819,0.26743,0.23023,0.10153,1.71712,3.61614,1.71031,0.00128742,0.00128742,0.00128742
25,1288.02,1.80929,2.40183,1.82011,0.26947,0.27786,0.23281,0.09731,1.6637,6.75837,1.67788,0.00127092,0.00127092,0.00127092
26,1341.69,1.8101,2.41444,1.80324,0.3837,0.25366,0.24405,0.10184,1.68244,4.00972,1.69997,0.00125442,0.00125442,0.00125442
27,1395.95,1.81787,2.43162,1.80989,0.26852,0.28412,0.23912,0.10439,1.64383,4.90028,1.646,0.00123791,0.00123791,0.00123791
28,1449.85,1.83341,2.37778,1.79914,0.341,0.24769,0.24477,0.10489,1.65579,5.32571,1.6731,0.00122141,0.00122141,0.00122141
29,1498.48,1.78845,2.36269,1.78822,0.34801,0.26343,0.25525,0.11038,1.63253,7.29786,1.66356,0.00120491,0.00120491,0.00120491
30,1547.62,1.77755,2.32788,1.77567,0.31398,0.28309,0.26821,0.12516,1.59621,5.24731,1.63882,0.0011884,0.0011884,0.0011884
31,1600.39,1.78874,2.33308,1.76906,0.30073,0.31635,0.27439,0.12017,1.66329,4.69129,1.67824,0.0011719,0.0011719,0.0011719
32,1659.08,1.77105,2.32243,1.7757,0.34373,0.28935,0.26427,0.11681,1.61295,4.13586,1.66637,0.0011554,0.0011554,0.0011554
33,1711.26,1.77036,2.34118,1.77846,0.3084,0.29964,0.27425,0.12181,1.61213,6.21872,1.6271,0.00113889,0.00113889,0.00113889
34,1764.47,1.7552,2.27397,1.75458,0.34016,0.30445,0.2844,0.12821,1.60705,3.96079,1.63244,0.00112239,0.00112239,0.00112239
