epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.835,1.6961,1.90902,1.66615,0.16289,0.60061,0.2455,0.13352,1.59303,3.47149,1.71504,0.000475298,0.000475298,0.000475298
2,210.61,1.58711,1.28801,1.6445,0.45197,0.76288,0.67402,0.30034,1.46915,1.45565,1.72099,0.00094221,0.00094221,0.00094221
3,325.441,1.52391,1.16037,1.64493,0.72726,0.56254,0.66478,0.33718,1.48538,0.97611,1.79368,0.00139969,0.00139969,0.00139969
4,439.943,1.51164,1.09616,1.61722,0.61609,0.70034,0.72115,0.36476,1.3967,1.23808,1.69645,0.00138656,0.00138656,0.00138656
5,543.17,1.46811,1.00826,1.57291,0.65381,0.66871,0.70015,0.35817,1.59932,0.92512,1.8651,0.00137241,0.00137241,0.00137241
6,623.45,1.43866,0.99016,1.56074,0.73291,0.75773,0.70285,0.35306,1.43969,0.88246,1.75467,0.00135826,0.00135826,0.00135826
7,704.405,1.43694,0.94849,1.55414,0.59329,0.80349,0.76502,0.40787,1.3596,0.88159,1.62303,0.00134412,0.00134412,0.00134412
8,788.39,1.40548,0.89189,1.54292,0.76218,0.69607,0.72844,0.40365,1.31011,0.85677,1.65442,0.00132997,0.00132997,0.00132997
9,873.496,1.40514,0.87836,1.53384,0.60292,0.74154,0.71383,0.36259,1.39034,0.85921,1.65928,0.00131582,0.00131582,0.00131582
10,959.434,1.38677,0.8574,1.52349,0.74544,0.73213,0.79691,0.45229,1.30952,0.78984,1.62039,0.00130168,0.00130168,0.00130168
11,1046.02,1.3754,0.85976,1.51984,0.78936,0.77353,0.8417,0.46421,1.3545,0.78556,1.63644,0.00128753,0.00128753,0.00128753
12,1133.09,1.37829,0.85194,1.51108,0.82255,0.74554,0.81263,0.44052,1.4038,0.75766,1.74241,0.00127338,0.00127338,0.00127338
13,1220.34,1.35942,0.82559,1.50999,0.82261,0.6851,0.81373,0.43481,1.37913,0.77714,1.71827,0.00125923,0.00125923,0.00125923
14,1308.23,1.37521,0.84987,1.5308,0.78687,0.70248,0.82415,0.45969,1.32244,0.76748,1.63628,0.00124509,0.00124509,0.00124509
15,1396.3,1.35174,0.81475,1.48599,0.7776,0.69468,0.8539,0.46039,1.33233,0.77553,1.60091,0.00123094,0.00123094,0.00123094
16,1484.7,1.34576,0.78606,1.49081,0.65606,0.79068,0.81628,0.44954,1.33266,0.76176,1.71207,0.00121679,0.00121679,0.00121679
17,1573.17,1.35523,0.80691,1.51365,0.71221,0.75522,0.77583,0.41049,1.34422,0.74446,1.68703,0.00120265,0.00120265,0.00120265
18,1661.84,1.36398,0.79736,1.51404,0.78365,0.67033,0.87025,0.46487,1.31113,0.82375,1.57584,0.0011885,0.0011885,0.0011885
19,1750.64,1.35968,0.80424,1.50672,0.77558,0.74027,0.84149,0.46892,1.3604,0.72823,1.69829,0.00117435,0.00117435,0.00117435
20,1839.62,1.35158,0.80656,1.50954,0.78412,0.70677,0.82226,0.42836,1.30588,0.88208,1.56705,0.00116021,0.00116021,0.00116021
21,1928.3,1.31244,0.76584,1.479,0.74363,0.75943,0.84173,0.47269,1.32949,0.71349,1.70916,0.00114606,0.00114606,0.00114606
22,2017.11,1.34061,0.753,1.51818,0.75515,0.77176,0.8012,0.4444,1.34368,0.74793,1.70238,0.00113191,0.00113191,0.00113191
23,2105.66,1.33515,0.76411,1.48137,0.8103,0.77576,0.84518,0.47768,1.30149,0.72672,1.59211,0.00111776,0.00111776,0.00111776
24,2194.52,1.30906,0.7384,1.47371,0.80014,0.77082,0.85776,0.46536,1.33164,0.68665,1.67795,0.00110362,0.00110362,0.00110362
25,2283.01,1.31382,0.73985,1.48676,0.84067,0.77264,0.89025,0.48702,1.32102,0.67019,1.65519,0.00108947,0.00108947,0.00108947
26,2364.57,1.33325,0.7474,1.49648,0.81017,0.70507,0.82314,0.46554,1.30936,0.70253,1.68734,0.00107532,0.00107532,0.00107532
