epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.849,1.67042,1.75099,1.65769,0.49378,0.32892,0.41289,0.19858,1.96493,4.02888,2.62574,0.000550835,0.000550835,0.000550835
2,1117.33,1.54457,1.0374,1.69487,0.20265,0.29296,0.17882,0.08902,2.59153,3.19223,3.08002,0.00109555,0.00109555,0.00109555
3,1621.57,1.53737,1.00141,1.73994,0.46523,0.31481,0.27399,0.11718,2.10823,3.55271,2.36146,0.00162926,0.00162926,0.00162926
4,2023.09,1.52413,0.94073,1.73277,0.00019,0.00104,0.0001,9e-05,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,2412.3,1.45949,0.89312,1.65898,0.50107,0.01139,0.00037,5e-05,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,2919.44,1.44599,0.84994,1.64589,0.55935,0.67384,0.59028,0.32212,1.41314,2.09988,1.83572,0.00158448,0.00158448,0.00158448
7,3478.55,1.42217,0.80595,1.63162,0.63687,0.6077,0.60795,0.33898,1.51466,0.90985,1.89744,0.00156798,0.00156798,0.00156798
8,4042.69,1.39871,0.78941,1.61944,0.72828,0.78572,0.76343,0.41352,1.39602,0.73057,1.80273,0.00155148,0.00155148,0.00155148
9,4609.88,1.38174,0.74056,1.58027,0.59229,0.74393,0.72751,0.39734,1.39025,0.77915,1.78521,0.00153497,0.00153497,0.00153497
10,5174.91,1.40506,0.75308,1.62535,0.81055,0.82783,0.8407,0.48795,1.37352,0.70883,1.76001,0.00151847,0.00151847,0.00151847
11,5729.46,1.38295,0.75543,1.59294,0.68245,0.74639,0.67308,0.38061,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,6320.98,1.36019,0.73462,1.59499,0.82561,0.64684,0.71658,0.38422,1.73414,1.574,1.8706,0.00148546,0.00148546,0.00148546
13,6888.46,1.3665,0.73149,1.57543,0.76363,0.60872,0.71155,0.33462,1.66837,0.8422,2.14544,0.00146896,0.00146896,0.00146896
14,7361.71,1.36058,0.73481,1.60438,0.83309,0.69517,0.77283,0.41876,1.35909,0.71465,1.75751,0.00145246,0.00145246,0.00145246
15,7930.68,1.35828,0.73513,1.57385,0.77247,0.80889,0.81535,0.42476,1.34753,0.70919,1.74064,0.00143595,0.00143595,0.00143595
16,8465.6,1.33965,0.70091,1.55725,0.69398,0.73926,0.75468,0.40757,1.36574,0.72791,1.7599,0.00141945,0.00141945,0.00141945
17,9023.89,1.3443,0.70187,1.56413,0.69952,0.75284,0.78629,0.43918,1.35949,0.70389,1.75469,0.00140295,0.00140295,0.00140295
18,9452.54,1.347,0.69514,1.56568,0.83418,0.84292,0.88668,0.46681,1.33055,0.66238,1.72578,0.00138644,0.00138644,0.00138644
19,10006.5,1.2969,0.67901,1.54313,0.85751,0.83274,0.83357,0.43473,1.37099,0.6976,1.74909,0.00136994,0.00136994,0.00136994
20,10553.5,1.32841,0.67897,1.55124,0.86722,0.81426,0.87443,0.46864,1.36102,0.60996,1.74337,0.00135344,0.00135344,0.00135344
21,11129.2,1.32461,0.67538,1.54626,0.84312,0.78123,0.89342,0.48506,1.33834,0.66265,1.72958,0.00133693,0.00133693,0.00133693
22,11568.8,1.31947,0.67906,1.55817,0.79628,0.8996,0.83451,0.44254,1.31256,0.64635,1.69122,0.00132043,0.00132043,0.00132043
23,12136.3,1.30099,0.66456,1.54735,0.73678,0.89419,0.83938,0.47377,1.31477,0.60788,1.70925,0.00130393,0.00130393,0.00130393
24,12670.3,1.32871,0.66786,1.5464,0.73993,0.74046,0.74895,0.32289,1.70707,0.92711,2.00915,0.00128742,0.00128742,0.00128742
25,13238.6,1.3074,0.62948,1.5436,0.85895,0.85992,0.90057,0.49916,1.3371,0.62527,1.71563,0.00127092,0.00127092,0.00127092
26,13662.6,1.31523,0.65504,1.5474,0.80906,0.82076,0.88547,0.48548,1.30841,0.60708,1.69425,0.00125442,0.00125442,0.00125442
27,14211.3,1.29853,0.64005,1.51674,0.76018,0.90761,0.84013,0.47102,1.33295,0.55921,1.72137,0.00123791,0.00123791,0.00123791
28,14753.5,1.31629,0.63351,1.55265,0.89366,0.83864,0.90679,0.50098,1.34172,0.58442,1.72196,0.00122141,0.00122141,0.00122141
29,15316.8,1.30797,0.6335,1.54593,0.91484,0.87617,0.92037,0.53766,1.30927,0.58666,1.69586,0.00120491,0.00120491,0.00120491
30,15750.4,1.29403,0.63246,1.51902,0.88279,0.85681,0.91541,0.55431,1.30212,0.57636,1.67361,0.0011884,0.0011884,0.0011884
31,16319.9,1.30881,0.63833,1.53383,0.91417,0.88654,0.91525,0.54329,1.31927,0.6295,1.73092,0.0011719,0.0011719,0.0011719
32,16854.2,1.29994,0.63201,1.52184,0.80527,0.91726,0.90941,0.53473,1.29023,0.55518,1.66911,0.0011554,0.0011554,0.0011554
33,17421.3,1.27733,0.61359,1.5126,0.85571,0.91,0.90936,0.52216,1.29897,0.60016,1.68898,0.00113889,0.00113889,0.00113889
34,17843.5,1.28475,0.61011,1.51446,0.79658,0.93542,0.9097,0.52434,1.32,0.61881,1.68488,0.00112239,0.00112239,0.00112239
35,18394.6,1.28738,0.61115,1.51446,0.84059,0.85371,0.87723,0.50203,1.28519,0.57686,1.6793,0.00110589,0.00110589,0.00110589
36,18934.1,1.28324,0.62006,1.52092,0.83068,0.87056,0.88953,0.50827,1.30709,0.59513,1.68914,0.00108938,0.00108938,0.00108938
37,19528.8,1.3027,0.62347,1.52549,0.88126,0.94192,0.92459,0.52342,1.34187,0.59321,1.71197,0.00107288,0.00107288,0.00107288
38,19959.7,1.28111,0.61854,1.50695,0.88723,0.81549,0.87588,0.47818,1.43319,0.67229,1.8118,0.00105638,0.00105638,0.00105638
39,20527.5,1.28775,0.61715,1.50086,0.89683,0.88976,0.93019,0.54363,1.31951,0.52671,1.69376,0.00103987,0.00103987,0.00103987
40,21053.6,1.26743,0.57461,1.50636,0.86121,0.93467,0.89562,0.53082,1.31619,0.57937,1.71216,0.00102337,0.00102337,0.00102337
41,21624.5,1.26061,0.60122,1.50039,0.89683,0.90808,0.9361,0.56489,1.28912,0.55244,1.68027,0.00100687,0.00100687,0.00100687
42,22053.4,1.28518,0.59778,1.52655,0.8856,0.8257,0.9134,0.50671,1.33007,0.56877,1.719,0.000990365,0.000990365,0.000990365
43,22647.4,1.29885,0.59019,1.51782,0.93335,0.89153,0.92144,0.54192,1.31432,0.57122,1.69416,0.000973861,0.000973861,0.000973861
44,23185.6,1.26876,0.58768,1.50507,0.90737,0.88798,0.95047,0.54666,1.29671,0.54395,1.67724,0.000957358,0.000957358,0.000957358
45,23745.4,1.2549,0.58921,1.50099,0.87393,0.88976,0.91081,0.53915,1.28367,0.54558,1.67522,0.000940855,0.000940855,0.000940855
46,24177,1.25969,0.58229,1.48679,0.90649,0.90748,0.92158,0.53014,1.32515,0.59866,1.73585,0.000924352,0.000924352,0.000924352
47,24747.2,1.25805,0.58063,1.49148,0.90288,0.88294,0.91358,0.53175,1.30953,0.54203,1.68495,0.000907848,0.000907848,0.000907848
48,25275.3,1.25659,0.58356,1.49763,0.87692,0.71182,0.84232,0.46812,1.37581,0.81256,1.74673,0.000891345,0.000891345,0.000891345
49,25888.5,1.26204,0.57551,1.50435,0.85663,0.94474,0.92804,0.51291,1.29903,0.5064,1.68117,0.000874842,0.000874842,0.000874842
50,26318.1,1.26824,0.55757,1.5029,0.89975,0.87602,0.8933,0.52558,1.26941,0.47753,1.66784,0.000858338,0.000858338,0.000858338
51,26875.7,1.2681,0.54516,1.50464,0.9295,0.89234,0.92017,0.55014,1.27691,0.51362,1.65839,0.000841835,0.000841835,0.000841835
52,27414.2,1.25153,0.53987,1.49186,0.96297,0.94267,0.93997,0.55586,1.29375,0.48124,1.68573,0.000825332,0.000825332,0.000825332
53,28067,1.25598,0.55696,1.5109,0.9401,0.93088,0.94969,0.57263,1.27114,0.51543,1.6825,0.000808828,0.000808828,0.000808828
54,28504.4,1.25903,0.54092,1.49209,0.86908,0.71181,0.7524,0.38371,1.7905,1.11681,1.99198,0.000792325,0.000792325,0.000792325
55,29071.7,1.2283,0.52424,1.47125,0.92104,0.91282,0.91602,0.55909,1.27172,0.45993,1.6481,0.000775822,0.000775822,0.000775822
56,29605.6,1.24049,0.52759,1.46988,0.94317,0.91987,0.9211,0.5368,1.26949,0.47634,1.65728,0.000759318,0.000759318,0.000759318
57,30203.9,1.25854,0.5292,1.4937,0.92962,0.89303,0.93172,0.52625,1.27349,0.50767,1.66367,0.000742815,0.000742815,0.000742815
58,30629.7,1.25383,0.52981,1.50309,0.91834,0.91847,0.95009,0.54893,1.30789,0.51136,1.69378,0.000726312,0.000726312,0.000726312
59,31181.4,1.2605,0.52058,1.4854,0.94695,0.91495,0.93107,0.55593,1.27597,0.48442,1.66974,0.000709809,0.000709809,0.000709809
60,31728.3,1.2524,0.50844,1.50327,0.92366,0.91526,0.91689,0.53664,1.30805,0.49322,1.68608,0.000693305,0.000693305,0.000693305
61,32328.9,1.22627,0.50019,1.47752,0.93643,0.91751,0.94268,0.55636,1.27109,0.45141,1.65785,0.000676802,0.000676802,0.000676802
62,32767.5,1.2392,0.50516,1.48481,0.8971,0.90595,0.91378,0.54487,1.29318,0.46023,1.68352,0.000660299,0.000660299,0.000660299
63,33344.1,1.24095,0.50141,1.48419,0.93437,0.94474,0.95346,0.56523,1.25303,0.4361,1.64497,0.000643795,0.000643795,0.000643795
64,33879,1.23862,0.50538,1.48293,0.95633,0.94066,0.95605,0.54587,1.25989,0.45219,1.65047,0.000627292,0.000627292,0.000627292
65,34441.6,1.24311,0.50081,1.48491,0.93916,0.92243,0.91858,0.54106,1.2864,0.47091,1.66945,0.000610789,0.000610789,0.000610789
