epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.24,1.55043,2.64938,1.58478,0.62097,0.6595,0.67318,0.28679,1.77424,2.63116,1.97719,0.000553562,0.000553562,0.000553562
2,411.329,1.66402,2.12682,1.72375,0.55711,0.4504,0.41977,0.17194,1.71089,2.6038,1.77669,0.00105432,0.00105432,0.00105432
3,654.196,1.6507,1.83729,1.72471,0.49761,0.59416,0.65715,0.31148,1.68017,1.83899,1.83141,0.00150007,0.00150007,0.00150007
4,895.634,1.61949,1.70406,1.68013,0.78472,0.64039,0.71226,0.41066,1.47279,1.30754,1.61281,0.00141945,0.00141945,0.00141945
5,1105.98,1.59864,1.62031,1.66515,0.75574,0.62917,0.72834,0.41191,1.42736,1.25403,1.61671,0.00133693,0.00133693,0.00133693
6,1310.29,1.54321,1.55627,1.62894,0.75232,0.59236,0.62212,0.35059,1.44307,1.23169,1.58174,0.00125442,0.00125442,0.00125442
7,1533.72,1.54147,1.49289,1.62526,0.84575,0.53326,0.68122,0.38328,1.41713,1.10101,1.57374,0.0011719,0.0011719,0.0011719
8,1758.78,1.48429,1.41338,1.58818,0.77111,0.64376,0.75673,0.43891,1.43419,1.06374,1.59319,0.00108938,0.00108938,0.00108938
9,1979.68,1.47321,1.37353,1.56653,0.71133,0.7569,0.85179,0.48381,1.40177,1.03329,1.61976,0.00100687,0.00100687,0.00100687
10,2193.48,1.45105,1.33839,1.54501,0.78806,0.67234,0.84833,0.48901,1.36596,1.00015,1.49126,0.000924352,0.000924352,0.000924352
11,2412.43,1.41952,1.17475,1.54088,0.7695,0.65591,0.75779,0.44756,1.31924,0.96738,1.46503,0.000841835,0.000841835,0.000841835
12,2622.03,1.39545,1.13204,1.53011,0.78348,0.6956,0.84185,0.47987,1.3242,0.93423,1.48411,0.000759318,0.000759318,0.000759318
13,2831.78,1.3704,1.09319,1.51521,0.81412,0.8437,0.88175,0.51185,1.31635,0.87783,1.47778,0.000676802,0.000676802,0.000676802
14,3042.61,1.35869,1.05459,1.49809,0.67314,0.8391,0.84412,0.47642,1.32107,0.84053,1.47878,0.000594286,0.000594286,0.000594286
15,3249.24,1.34483,1.0251,1.46989,0.8525,0.66993,0.88369,0.53058,1.26169,0.82122,1.40824,0.000511769,0.000511769,0.000511769
16,3455.42,1.31833,0.97134,1.45947,0.82689,0.8385,0.84367,0.50431,1.26817,0.8279,1.41122,0.000429253,0.000429253,0.000429253
17,3653.98,1.29678,0.95061,1.43255,0.83726,0.84816,0.91275,0.53023,1.25932,0.76368,1.40854,0.000346736,0.000346736,0.000346736
18,3861.67,1.29095,0.91421,1.43112,0.86184,0.85341,0.91989,0.55104,1.2437,0.72716,1.39265,0.00026422,0.00026422,0.00026422
19,4064.98,1.26515,0.87989,1.41816,0.90002,0.93545,0.95399,0.58011,1.24114,0.70143,1.38159,0.000181703,0.000181703,0.000181703
20,4267.65,1.25878,0.85689,1.4017,0.83607,0.8593,0.93054,0.56399,1.24075,0.70341,1.3841,9.91865e-05,9.91865e-05,9.91865e-05
