epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,765.083,1.59975,2.34243,1.52038,0.4764,0.16784,0.15551,0.07637,1.72434,3.0225,1.74381,0.000554606,0.000554606,0.000554606
2,1540.43,1.76533,2.13407,1.6749,0.5095,0.42754,0.42532,0.22731,1.81673,1.93037,1.7536,0.00105531,0.00105531,0.00105531
3,2282.77,1.78995,2.07524,1.69232,0.55439,0.46005,0.44655,0.24936,1.76238,1.77713,1.73474,0.00150101,0.00150101,0.00150101
4,2990.51,1.77892,2.03141,1.70384,0.59897,0.39826,0.4631,0.2748,1.63365,1.69017,1.64146,0.00141945,0.00141945,0.00141945
5,3687.99,1.71534,1.95093,1.65799,0.48172,0.46956,0.44718,0.2569,1.67932,1.70485,1.66538,0.00133693,0.00133693,0.00133693
6,4387.99,1.67399,1.87726,1.62844,0.57321,0.48134,0.4753,0.28302,1.5864,1.56779,1.55116,0.00125442,0.00125442,0.00125442
7,5040.62,1.64222,1.82523,1.59911,0.49363,0.5378,0.49626,0.28748,1.5278,1.51584,1.53787,0.0011719,0.0011719,0.0011719
8,5722.28,1.61777,1.78149,1.58849,0.63034,0.4396,0.47988,0.29406,1.49055,1.48565,1.50338,0.00108938,0.00108938,0.00108938
9,6372.65,1.59072,1.7235,1.56373,0.58797,0.53652,0.4971,0.2809,1.51684,1.47672,1.54103,0.00100687,0.00100687,0.00100687
10,7033.79,1.58667,1.70214,1.54909,0.54806,0.52824,0.51836,0.29841,1.55653,1.46064,1.50959,0.000924352,0.000924352,0.000924352
11,7635.42,1.57572,1.59196,1.58559,0.58991,0.54687,0.54414,0.32284,1.44761,1.41898,1.46866,0.000841835,0.000841835,0.000841835
12,8234.11,1.55096,1.54463,1.56719,0.57325,0.55232,0.52566,0.32402,1.48078,1.3733,1.49829,0.000759318,0.000759318,0.000759318
13,8825.48,1.52466,1.48619,1.53378,0.59304,0.565,0.54006,0.32585,1.45895,1.35647,1.48004,0.000676802,0.000676802,0.000676802
14,9406.38,1.50821,1.44047,1.53461,0.61215,0.55606,0.5443,0.33595,1.43249,1.34376,1.44601,0.000594286,0.000594286,0.000594286
15,9983.81,1.48319,1.41035,1.50419,0.6397,0.53371,0.55559,0.35234,1.38863,1.26714,1.422,0.000511769,0.000511769,0.000511769
16,10565,1.46967,1.359,1.48193,0.62988,0.59996,0.57639,0.35796,1.38575,1.20308,1.41061,0.000429253,0.000429253,0.000429253
17,11130,1.44578,1.33251,1.47274,0.62202,0.57283,0.56931,0.3627,1.38154,1.22055,1.40517,0.000346736,0.000346736,0.000346736
18,11701.5,1.41875,1.28854,1.45135,0.633,0.57584,0.57478,0.35958,1.37863,1.22209,1.39883,0.00026422,0.00026422,0.00026422
19,12262.8,1.40872,1.26319,1.43773,0.61787,0.60555,0.58132,0.36581,1.37058,1.18088,1.38984,0.000181703,0.000181703,0.000181703
20,12809.8,1.38141,1.23002,1.42832,0.66306,0.58642,0.58498,0.37055,1.34894,1.17034,1.3785,9.91865e-05,9.91865e-05,9.91865e-05
