epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.937,1.46252,3.18887,1.81568,0.58399,0.05625,0.03779,0.01342,3.32421,5.25612,4.24965,0.000552888,0.000552888,0.000552888
2,226.612,1.78902,2.89786,2.10099,0,0,0,0,3.23387,3.88924,3.60527,0.00108661,0.00108661,0.00108661
3,258.184,1.91251,2.9754,2.20687,0,0,0,0,2.70776,3.20329,3.33754,0.00159832,0.00159832,0.00159832
4,289.463,1.85108,2.9681,2.1714,0.34575,0.00625,0.06891,0.04093,2.41331,3.128,2.96626,0.00156798,0.00156798,0.00156798
5,321.325,1.77533,2.90884,2.10913,0.2,0.00625,0.10408,0.08833,2.11566,3.04538,2.72868,0.00153497,0.00153497,0.00153497
6,357.207,1.72991,2.81681,2.05024,0,0,0,0,2.01132,2.74249,2.62035,0.00150197,0.00150197,0.00150197
7,393.4,1.6882,2.7518,2.01853,0.15556,0.04375,0.08879,0.04941,2.01835,2.84433,2.65634,0.00146896,0.00146896,0.00146896
8,429.46,1.63999,2.69039,1.98474,0.5,0.0125,0.25624,0.17967,1.81321,2.62003,2.5222,0.00143595,0.00143595,0.00143595
9,464.846,1.65402,2.70747,1.9773,0.3625,0.09062,0.22536,0.13656,1.93496,2.55666,2.66891,0.00140295,0.00140295,0.00140295
10,495.691,1.59423,2.61551,1.96443,0.5625,0.04688,0.29902,0.1304,1.81566,2.67394,2.46858,0.00136994,0.00136994,0.00136994
11,530.768,1.55861,2.59605,1.91259,0.3254,0.12812,0.22284,0.13832,1.73562,2.52546,2.3888,0.00133693,0.00133693,0.00133693
12,567.622,1.55298,2.51909,1.89673,0.3587,0.10312,0.23443,0.14325,1.79253,2.46844,2.41169,0.00130393,0.00130393,0.00130393
13,604.177,1.52366,2.45847,1.89722,0.39474,0.04688,0.22011,0.15132,1.63685,2.47096,2.24184,0.00127092,0.00127092,0.00127092
14,640.464,1.50171,2.47828,1.88525,0.59028,0.18438,0.38354,0.26743,1.79782,2.41029,2.44461,0.00123791,0.00123791,0.00123791
15,677.213,1.49969,2.41016,1.85154,0.285,0.17813,0.23468,0.15495,1.73559,2.35696,2.33156,0.00120491,0.00120491,0.00120491
16,714.247,1.44745,2.38276,1.83077,0.36905,0.09688,0.23512,0.14952,1.683,2.34527,2.29924,0.0011719,0.0011719,0.0011719
17,748.426,1.44432,2.39674,1.83764,0.87324,0.16812,0.52543,0.3326,1.78023,2.32796,2.39446,0.00113889,0.00113889,0.00113889
18,783.52,1.44886,2.35444,1.82055,0.36538,0.17813,0.27438,0.19654,1.64267,2.30698,2.24897,0.00110589,0.00110589,0.00110589
19,820.264,1.41663,2.33156,1.79566,0.52075,0.2175,0.37287,0.22942,1.73019,2.29376,2.29895,0.00107288,0.00107288,0.00107288
20,857.354,1.42909,2.31809,1.80625,0.32456,0.23125,0.28461,0.16415,1.88333,2.30043,2.46956,0.00103987,0.00103987,0.00103987
21,893.882,1.43495,2.30798,1.82132,0.32,0.2,0.26917,0.19741,1.60366,2.22838,2.19583,0.00100687,0.00100687,0.00100687
22,928.946,1.41927,2.28989,1.79024,0.52365,0.18938,0.36491,0.24787,1.59859,2.16367,2.15037,0.000973861,0.000973861,0.000973861
23,966.272,1.37564,2.24705,1.76777,0.78261,0.24625,0.51912,0.36441,1.67435,2.26586,2.25994,0.000940855,0.000940855,0.000940855
24,1003.12,1.40104,2.25125,1.77908,0.59231,0.16437,0.38453,0.25181,1.58959,2.18433,2.18201,0.000907848,0.000907848,0.000907848
25,1039.16,1.3422,2.15942,1.7514,0.46047,0.20375,0.34406,0.24882,1.56393,2.10111,2.12974,0.000874842,0.000874842,0.000874842
26,1074.97,1.35125,2.14212,1.73921,0.34921,0.275,0.31803,0.21505,1.58436,2.22222,2.13878,0.000841835,0.000841835,0.000841835
27,1111.85,1.32969,2.15574,1.73152,0.7773,0.22625,0.51019,0.32861,1.59759,2.1198,2.1822,0.000808828,0.000808828,0.000808828
28,1149.36,1.35682,2.15174,1.75734,0.49612,0.22437,0.36595,0.25971,1.54629,2.1053,2.09449,0.000775822,0.000775822,0.000775822
29,1187.51,1.33109,2.12437,1.72505,0.75313,0.18875,0.47284,0.37724,1.52705,2.13722,2.06253,0.000742815,0.000742815,0.000742815
30,1225.54,1.31831,2.09469,1.72043,0.64531,0.18437,0.42066,0.30219,1.57896,2.17001,2.12726,0.000709809,0.000709809,0.000709809
31,1258.03,1.30698,2.10056,1.70296,0.64362,0.24125,0.44964,0.31627,1.46155,2.10028,2.018,0.000676802,0.000676802,0.000676802
32,1292.9,1.30424,2.10229,1.71451,0.58158,0.28687,0.44272,0.33748,1.46197,2.02112,2.00131,0.000643795,0.000643795,0.000643795
33,1324.01,1.29294,2.0511,1.70305,0.54121,0.25812,0.41884,0.28959,1.50829,2.10256,2.02732,0.000610789,0.000610789,0.000610789
34,1355.08,1.29798,2.07102,1.69127,0.57759,0.28875,0.45022,0.32291,1.46061,1.9792,2.0122,0.000577782,0.000577782,0.000577782
35,1391.04,1.27336,2.02564,1.68712,0.58118,0.26062,0.43067,0.30322,1.4782,2.03184,2.05485,0.000544776,0.000544776,0.000544776
36,1428.06,1.2696,1.974,1.68164,0.58504,0.24438,0.42145,0.31195,1.46592,2.03774,1.99639,0.000511769,0.000511769,0.000511769
37,1464.48,1.24088,1.94125,1.66539,0.62627,0.27563,0.46102,0.33924,1.44728,1.94621,1.9874,0.000478762,0.000478762,0.000478762
38,1499.2,1.25842,1.96251,1.67489,0.55635,0.28875,0.43729,0.3601,1.42018,1.9746,1.95451,0.000445756,0.000445756,0.000445756
39,1536.62,1.22875,1.94602,1.64001,0.58448,0.32562,0.46607,0.35714,1.42373,2.05194,1.96441,0.000412749,0.000412749,0.000412749
40,1570.24,1.24957,1.92207,1.6603,0.59254,0.27687,0.44565,0.33882,1.44427,1.96993,1.99659,0.000379743,0.000379743,0.000379743
41,1609.66,1.32208,1.94026,1.84566,0.63763,0.34,0.49802,0.36299,1.39156,1.91523,1.94166,0.000346736,0.000346736,0.000346736
42,1641.26,1.29976,1.86485,1.85014,0.59383,0.35812,0.48234,0.34456,1.43692,1.92517,1.99351,0.000313729,0.000313729,0.000313729
43,1672.82,1.30838,1.83206,1.85017,0.62037,0.3675,0.50679,0.38134,1.34173,1.82615,1.90476,0.000280723,0.000280723,0.000280723
