epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,786.123,1.72046,2.19806,1.79173,0.30708,0.1135,0.08883,0.04879,2.00522,5.11583,2.25043,0.000553682,0.000553682,0.000553682
2,1573.98,1.89568,2.19957,1.98278,0.36515,0.11274,0.10858,0.06576,1.85951,2.759,2.1672,0.00105444,0.00105444,0.00105444
3,2399.99,1.85682,2.1256,1.95542,0.40909,0.13414,0.1577,0.09062,1.92517,2.54391,2.27241,0.00150018,0.00150018,0.00150018
4,3197,1.80297,2.01743,1.93533,0.4759,0.16837,0.17581,0.10853,1.77151,2.28221,2.1186,0.00141945,0.00141945,0.00141945
5,4021.56,1.72676,1.92471,1.87977,0.47375,0.23567,0.24423,0.15057,1.72372,1.88143,2.05456,0.00133693,0.00133693,0.00133693
6,4875.78,1.72226,1.89304,1.86555,0.45826,0.31394,0.31208,0.18825,1.69821,1.68185,2.02932,0.00125442,0.00125442,0.00125442
7,5697.23,1.66064,1.82549,1.81085,0.61341,0.32993,0.3473,0.20928,1.69602,1.6995,2.01063,0.0011719,0.0011719,0.0011719
8,6498.29,1.64903,1.77066,1.79518,0.44971,0.36265,0.36065,0.22091,1.67332,1.58381,1.9622,0.00108938,0.00108938,0.00108938
9,7289.04,1.6253,1.71342,1.75899,0.48738,0.38042,0.37336,0.23198,1.61923,1.49661,1.95034,0.00100687,0.00100687,0.00100687
10,8068.57,1.57743,1.65355,1.74862,0.71289,0.34251,0.37924,0.22807,1.62556,1.42652,1.92135,0.000924352,0.000924352,0.000924352
11,8842.13,1.57472,1.50626,1.83463,0.43151,0.40737,0.3846,0.23447,1.55526,1.48649,1.88932,0.000841835,0.000841835,0.000841835
12,9607.01,1.53852,1.43554,1.82944,0.64649,0.374,0.38802,0.23651,1.59009,1.44327,1.89401,0.000759318,0.000759318,0.000759318
13,10375.8,1.51297,1.38495,1.79773,0.67108,0.39607,0.42897,0.25824,1.53232,1.34658,1.85186,0.000676802,0.000676802,0.000676802
14,11137.1,1.4853,1.36008,1.78359,0.5479,0.42682,0.44534,0.27064,1.49874,1.32186,1.83194,0.000594286,0.000594286,0.000594286
15,11914.1,1.46873,1.32874,1.7777,0.67942,0.40296,0.44075,0.27271,1.49142,1.30882,1.82568,0.000511769,0.000511769,0.000511769
16,12683.2,1.45475,1.29013,1.75665,0.56509,0.43577,0.46457,0.2834,1.46346,1.29592,1.79866,0.000429253,0.000429253,0.000429253
17,13449.7,1.44245,1.24687,1.75654,0.63922,0.45032,0.48643,0.29928,1.47405,1.25773,1.805,0.000346736,0.000346736,0.000346736
18,14238.2,1.43001,1.21574,1.73097,0.67384,0.42385,0.48716,0.29923,1.46814,1.23261,1.80035,0.00026422,0.00026422,0.00026422
19,15023.6,1.41148,1.19144,1.72314,0.67001,0.4563,0.48967,0.30154,1.44434,1.19967,1.7728,0.000181703,0.000181703,0.000181703
20,15803.9,1.37904,1.1432,1.70016,0.60739,0.5174,0.52568,0.32236,1.44834,1.18681,1.77705,9.91865e-05,9.91865e-05,9.91865e-05
