epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.397,1.60603,2.18747,1.82286,0.32723,0.18602,0.17139,0.08646,2.50533,48.9835,2.99499,0.000554453,0.000554453,0.000554453
2,495.622,1.74355,2.19576,1.95812,0.53803,0.44115,0.39587,0.21295,1.86442,2.21097,2.41897,0.00107349,0.00107349,0.00107349
3,804.735,1.69139,2.15732,1.95889,0.97814,0.32406,0.38855,0.22428,1.8232,2.11185,2.29914,0.00155584,0.00155584,0.00155584
4,998.028,1.64013,2.07239,1.92561,0.62638,0.50538,0.45722,0.2484,1.78608,2.11289,2.29267,0.00150197,0.00150197,0.00150197
5,1191.21,1.58275,1.97503,1.86103,0.61033,0.47579,0.44543,0.23087,1.82761,1.97913,2.28352,0.00144696,0.00144696,0.00144696
6,1384.09,1.539,1.88715,1.8319,0.60464,0.45146,0.46044,0.25339,1.74518,1.92597,2.19915,0.00139195,0.00139195,0.00139195
7,1576.31,1.5079,1.82169,1.79727,0.62069,0.50509,0.49025,0.27847,1.6097,1.80431,2.09118,0.00133693,0.00133693,0.00133693
8,1768.19,1.4777,1.76923,1.77789,0.59916,0.489,0.48634,0.28173,1.62344,1.81313,2.09421,0.00128192,0.00128192,0.00128192
9,1960.52,1.4453,1.72678,1.75137,0.58969,0.5366,0.51885,0.29429,1.60288,1.72993,2.05518,0.00122691,0.00122691,0.00122691
10,2153.34,1.44009,1.7062,1.7458,0.58204,0.5457,0.52389,0.3032,1.59355,1.71036,2.05495,0.0011719,0.0011719,0.0011719
11,2345.42,1.43043,1.65334,1.74063,0.59124,0.5467,0.51228,0.29389,1.55647,1.69017,1.98954,0.00111689,0.00111689,0.00111689
12,2537.27,1.40176,1.63281,1.71674,0.69766,0.53961,0.53828,0.30408,1.53687,1.63438,1.99485,0.00106188,0.00106188,0.00106188
13,2730.16,1.39155,1.57296,1.71164,0.67659,0.52319,0.53276,0.30731,1.56437,1.62008,1.99273,0.00100687,0.00100687,0.00100687
14,2940.28,1.36092,1.55095,1.68806,0.65283,0.54795,0.57586,0.33197,1.49719,1.55462,1.94223,0.000951857,0.000951857,0.000951857
15,3147.75,1.36036,1.51742,1.68903,0.70746,0.54043,0.54586,0.32295,1.50611,1.56415,1.92833,0.000896846,0.000896846,0.000896846
16,3351.12,1.33288,1.50107,1.66083,0.66123,0.56253,0.57944,0.33764,1.45344,1.53274,1.88603,0.000841835,0.000841835,0.000841835
17,3549.84,1.32535,1.48555,1.6636,0.72688,0.53534,0.57316,0.33518,1.48063,1.50588,1.92204,0.000786824,0.000786824,0.000786824
18,3746.97,1.31412,1.45792,1.65531,0.6877,0.55663,0.57353,0.34352,1.45583,1.48042,1.90306,0.000731813,0.000731813,0.000731813
19,3944.79,1.3169,1.43376,1.65009,0.72221,0.53106,0.57297,0.3381,1.45618,1.52587,1.89304,0.000676802,0.000676802,0.000676802
20,4142.29,1.28396,1.37769,1.63221,0.67197,0.56835,0.59078,0.35337,1.41811,1.44163,1.8674,0.000621791,0.000621791,0.000621791
21,4380.15,1.32015,1.1975,1.75943,0.70037,0.61296,0.61663,0.37186,1.414,1.38712,1.85752,0.00056678,0.00056678,0.00056678
22,4579.75,1.30601,1.17692,1.75088,0.70625,0.57121,0.61875,0.37091,1.41308,1.40166,1.83342,0.000511769,0.000511769,0.000511769
23,4777.91,1.29004,1.12274,1.72524,0.70489,0.62496,0.62922,0.3808,1.37737,1.34644,1.82406,0.000456758,0.000456758,0.000456758
24,4977.56,1.27091,1.09414,1.71372,0.71878,0.5802,0.61953,0.38044,1.32905,1.34614,1.77507,0.000401747,0.000401747,0.000401747
25,5177.7,1.25165,1.04294,1.69935,0.66534,0.616,0.61759,0.38041,1.35512,1.32712,1.79352,0.000346736,0.000346736,0.000346736
26,5376.93,1.24037,1.0291,1.69725,0.73357,0.61236,0.63571,0.39129,1.36785,1.31922,1.79966,0.000291725,0.000291725,0.000291725
27,5575.88,1.21251,0.99107,1.6707,0.67736,0.63837,0.62791,0.38776,1.36881,1.30849,1.80937,0.000236714,0.000236714,0.000236714
28,5774.91,1.19696,0.9648,1.65169,0.72407,0.62313,0.64932,0.40376,1.37191,1.27325,1.7991,0.000181703,0.000181703,0.000181703
29,5974.43,1.17466,0.93421,1.63283,0.71047,0.65972,0.6519,0.40617,1.34045,1.25566,1.77772,0.000126692,0.000126692,0.000126692
30,6175.27,1.17251,0.91236,1.63882,0.70657,0.63758,0.65819,0.40716,1.34481,1.25977,1.7805,7.1681e-05,7.1681e-05,7.1681e-05
