epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.933,1.28603,2.44329,1.71124,0.03112,0.37625,0.02282,0.00729,2.54279,96.4487,5.96588,0.000549352,0.000549352,0.000549352
2,420.169,1.78752,2.75797,2.08345,0.00386,0.19625,0.00195,0.00045,3.62625,inf,7.78712,0.00108314,0.00108314,0.00108314
3,684.954,1.85482,2.79221,2.13741,0.07892,0.15813,0.04168,0.01158,2.65749,4.43738,3.98285,0.00159492,0.00159492,0.00159492
4,867.131,1.78681,2.83592,2.09153,0.05467,0.39313,0.04855,0.01655,2.19788,3.97479,2.9511,0.00156798,0.00156798,0.00156798
5,1082.29,1.71012,2.66662,2.03255,0.13531,0.37879,0.10052,0.0321,1.98497,2.88682,2.81037,0.00153497,0.00153497,0.00153497
6,1373.16,1.62942,2.57537,1.97528,0.09041,0.21588,0.07011,0.02872,2.01629,3.07991,2.60538,0.00150197,0.00150197,0.00150197
7,1628.11,1.58418,2.54793,1.92991,0.23942,0.42625,0.22397,0.10199,2.05503,2.8487,2.74737,0.00146896,0.00146896,0.00146896
8,1802.19,1.55873,2.4408,1.92228,0.21392,0.395,0.2408,0.11412,1.99669,2.52829,2.7762,0.00143595,0.00143595,0.00143595
9,2018.89,1.52296,2.39149,1.90054,0.25789,0.33438,0.23218,0.11356,1.81566,2.43226,2.49362,0.00140295,0.00140295,0.00140295
10,2217.95,1.52545,2.41355,1.88725,0.25164,0.41187,0.27845,0.12974,1.89198,2.44674,2.51094,0.00136994,0.00136994,0.00136994
11,2433.13,1.5318,2.36586,1.91262,0.25434,0.34313,0.21395,0.10342,1.73626,2.69935,2.3596,0.00133693,0.00133693,0.00133693
12,2616.22,1.44102,2.34229,1.82657,0.24324,0.33113,0.22911,0.1204,1.74427,2.46338,2.31137,0.00130393,0.00130393,0.00130393
13,2793.79,1.45404,2.28943,1.8287,0.26107,0.46625,0.27702,0.14696,1.78659,2.356,2.41806,0.00127092,0.00127092,0.00127092
