epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.625,1.06583,2.05209,1.48898,0.23286,0.35714,0.19581,0.07277,2.2158,7.66364,3.39974,0.000547729,0.000547729,0.000547729
2,297.958,1.48448,2.05906,1.79365,0.0669,0.39916,0.05119,0.01623,2.44534,50.9755,3.85629,0.00104878,0.00104878,0.00104878
3,438.019,1.59294,2.08687,1.86278,0.09583,0.46218,0.09295,0.03019,2.06844,28.9534,3.38982,0.00149481,0.00149481,0.00149481
4,576.352,1.54268,2.05882,1.88435,0.22382,0.37395,0.16413,0.05668,1.9931,5.71621,2.76643,0.00141945,0.00141945,0.00141945
5,718.388,1.48488,1.97275,1.82695,0.36853,0.41176,0.32257,0.14666,1.74046,3.15617,2.40959,0.00133693,0.00133693,0.00133693
6,857.73,1.40322,1.84192,1.74504,0.4031,0.39916,0.32375,0.14872,1.78464,2.30889,2.382,0.00125442,0.00125442,0.00125442
7,995.513,1.39048,1.7804,1.74291,0.4359,0.35294,0.30556,0.14864,1.74223,2.19587,2.24288,0.0011719,0.0011719,0.0011719
8,1132.49,1.32709,1.65935,1.68799,0.5942,0.45798,0.4604,0.2747,1.50086,1.81643,2.04943,0.00108938,0.00108938,0.00108938
9,1267.88,1.2884,1.6299,1.65784,0.53324,0.44958,0.43296,0.21961,1.60043,1.84177,2.08332,0.00100687,0.00100687,0.00100687
10,1404.58,1.29014,1.5597,1.6292,0.6649,0.4916,0.51313,0.31477,1.39255,1.89814,1.92446,0.000924352,0.000924352,0.000924352
11,1536.61,1.2834,1.62638,1.74923,0.52731,0.52101,0.46152,0.28637,1.40304,1.70835,1.92331,0.000841835,0.000841835,0.000841835
12,1668.49,1.20897,1.49002,1.66145,0.62099,0.52101,0.49176,0.29778,1.41881,1.64177,1.93482,0.000759318,0.000759318,0.000759318
13,1800.69,1.18457,1.44163,1.66267,0.67973,0.4916,0.54812,0.35885,1.351,1.57852,1.86015,0.000676802,0.000676802,0.000676802
14,1933.63,1.14855,1.31915,1.60844,0.76337,0.4958,0.55074,0.36035,1.39853,1.64896,1.85674,0.000594286,0.000594286,0.000594286
15,2066.25,1.13451,1.26699,1.60728,0.71685,0.5,0.53855,0.35812,1.28739,1.53734,1.77612,0.000511769,0.000511769,0.000511769
16,2198.11,1.08174,1.19784,1.53787,0.75893,0.54202,0.59245,0.40429,1.26427,1.40758,1.73311,0.000429253,0.000429253,0.000429253
17,2332.71,1.04168,1.13585,1.50308,0.85239,0.48529,0.58015,0.41076,1.2226,1.36205,1.70011,0.000346736,0.000346736,0.000346736
18,2465.49,0.95551,1.08053,1.4291,0.78963,0.52046,0.60009,0.42485,1.19279,1.47242,1.70245,0.00026422,0.00026422,0.00026422
19,2597.53,0.93208,0.99156,1.39501,0.75936,0.55882,0.59841,0.42631,1.17585,1.42236,1.66754,0.000181703,0.000181703,0.000181703
20,2729.67,0.89326,0.92962,1.35156,0.78063,0.54202,0.60991,0.44012,1.10663,1.36535,1.63399,9.91865e-05,9.91865e-05,9.91865e-05
