epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,875.314,1.4456,2.0932,1.74394,0.09993,0.2113,0.05826,0.02162,2.36876,5.27789,2.75756,0.000553737,0.000553737,0.000553737
2,1635.45,1.72095,2.44295,1.98869,0.1932,0.26452,0.11514,0.0449,2.01317,3.18957,2.51318,0.00105449,0.00105449,0.00105449
3,2388.19,1.70405,2.43214,1.995,0.22549,0.2085,0.10106,0.03996,2.06829,3.10044,2.53364,0.00150023,0.00150023,0.00150023
4,3237.2,1.64597,2.29504,1.93634,0.24783,0.31094,0.16036,0.06946,1.97842,2.94473,2.35865,0.00141945,0.00141945,0.00141945
5,3978.63,1.56723,2.15542,1.85989,0.3318,0.31449,0.20708,0.09733,1.72885,2.61444,2.16146,0.00133693,0.00133693,0.00133693
6,4693.26,1.49452,2.06514,1.80006,0.37661,0.34423,0.27155,0.14772,1.68717,2.38018,2.15621,0.00125442,0.00125442,0.00125442
7,5404.95,1.45758,1.99682,1.78,0.40531,0.34907,0.28708,0.15623,1.69042,2.31159,2.10041,0.0011719,0.0011719,0.0011719
8,6117.15,1.40305,1.86609,1.72618,0.42981,0.37153,0.26887,0.146,1.5887,2.28329,2.02903,0.00108938,0.00108938,0.00108938
9,6812.42,1.37118,1.8195,1.70547,0.44647,0.39033,0.31945,0.17454,1.58953,2.21237,1.97214,0.00100687,0.00100687,0.00100687
10,7517.09,1.33314,1.74009,1.68208,0.53233,0.4053,0.35541,0.21091,1.53627,2.09372,1.94288,0.000924352,0.000924352,0.000924352
11,8198.63,1.41866,1.71474,1.83763,0.3916,0.38213,0.30819,0.17105,1.63151,2.31092,1.99287,0.000841835,0.000841835,0.000841835
12,8873.85,1.40101,1.6614,1.83278,0.46759,0.41294,0.3352,0.20086,1.55323,2.1486,1.95608,0.000759318,0.000759318,0.000759318
13,9556.62,1.37062,1.56707,1.79413,0.534,0.40634,0.3767,0.23224,1.49934,2.05092,1.87447,0.000676802,0.000676802,0.000676802
14,10230.8,1.32117,1.47265,1.74068,0.49686,0.43239,0.38859,0.23275,1.52703,2.01257,1.89269,0.000594286,0.000594286,0.000594286
15,10902.9,1.2837,1.40887,1.70442,0.52429,0.45487,0.4063,0.25888,1.45238,2.00479,1.84927,0.000511769,0.000511769,0.000511769
16,11570.9,1.25132,1.35568,1.67806,0.54856,0.46171,0.43255,0.2744,1.40201,1.91333,1.79005,0.000429253,0.000429253,0.000429253
17,12245.2,1.22037,1.28993,1.66777,0.57311,0.44057,0.43643,0.28017,1.40605,1.87923,1.78874,0.000346736,0.000346736,0.000346736
18,12910.9,1.18379,1.21574,1.62908,0.54241,0.43086,0.42921,0.28155,1.36349,1.91812,1.76541,0.00026422,0.00026422,0.00026422
19,13565.2,1.15251,1.17483,1.60499,0.58844,0.46477,0.45845,0.30064,1.35184,1.85949,1.75033,0.000181703,0.000181703,0.000181703
20,14271.9,1.11658,1.10651,1.57017,0.56436,0.46073,0.45422,0.29991,1.35197,1.82048,1.73646,9.91865e-05,9.91865e-05,9.91865e-05
