epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.46,1.61568,2.63383,1.58832,0.53949,0.193,0.20543,0.11641,1.76266,2.68877,1.72185,0.000553682,0.000553682,0.000553682
2,595.395,1.72765,2.194,1.69371,0.51906,0.11411,0.13292,0.08265,1.85706,3.29798,1.93644,0.00105444,0.00105444,0.00105444
3,814.407,1.74578,2.06355,1.71781,0.48056,0.40118,0.37931,0.20433,1.79465,1.95458,1.82862,0.00150018,0.00150018,0.00150018
4,1038.34,1.74358,1.91868,1.72413,0.39967,0.41425,0.38874,0.23471,1.62105,1.99603,1.68102,0.00141945,0.00141945,0.00141945
5,1232.47,1.67104,1.83351,1.68554,0.60591,0.34338,0.42981,0.24637,1.71772,1.65799,1.72535,0.00133693,0.00133693,0.00133693
6,1426.59,1.67373,1.80586,1.67895,0.62616,0.40504,0.43693,0.25023,1.68692,1.60041,1.70196,0.00125442,0.00125442,0.00125442
7,1617.73,1.62469,1.74048,1.6433,0.58476,0.42761,0.46083,0.27218,1.5678,1.57089,1.62841,0.0011719,0.0011719,0.0011719
8,1805.4,1.59294,1.67941,1.61476,0.50208,0.4944,0.48478,0.28837,1.58599,1.44916,1.63813,0.00108938,0.00108938,0.00108938
9,2001.61,1.59169,1.6061,1.59695,0.5761,0.43167,0.47119,0.28222,1.51566,1.48557,1.56982,0.00100687,0.00100687,0.00100687
10,2180.04,1.53252,1.56419,1.5799,0.58876,0.47447,0.50783,0.30136,1.56088,1.36797,1.59614,0.000924352,0.000924352,0.000924352
11,2352.74,1.53452,1.41752,1.62104,0.58276,0.47641,0.49959,0.30354,1.46756,1.39416,1.54291,0.000841835,0.000841835,0.000841835
12,2534.58,1.50076,1.35914,1.59446,0.58143,0.50764,0.50701,0.29436,1.53153,1.34861,1.58073,0.000759318,0.000759318,0.000759318
13,2709.96,1.48117,1.31227,1.58338,0.66235,0.49338,0.52858,0.31293,1.48323,1.29409,1.55378,0.000676802,0.000676802,0.000676802
14,2883.37,1.44932,1.2867,1.55772,0.62938,0.49423,0.52063,0.31726,1.46893,1.30594,1.55664,0.000594286,0.000594286,0.000594286
15,3057.61,1.44456,1.24075,1.54819,0.63482,0.50794,0.5288,0.31683,1.4731,1.26535,1.54172,0.000511769,0.000511769,0.000511769
16,3227.86,1.41529,1.21073,1.52476,0.63357,0.51344,0.54158,0.33351,1.43522,1.21562,1.51763,0.000429253,0.000429253,0.000429253
17,3399.29,1.3883,1.16433,1.50519,0.64119,0.51779,0.53842,0.32649,1.42999,1.2144,1.51411,0.000346736,0.000346736,0.000346736
18,3567.37,1.3826,1.12044,1.49663,0.65926,0.5205,0.54999,0.33982,1.41943,1.17603,1.49898,0.00026422,0.00026422,0.00026422
19,3738.58,1.36193,1.10842,1.4781,0.61101,0.54649,0.54899,0.33761,1.40314,1.15759,1.48272,0.000181703,0.000181703,0.000181703
20,3903.57,1.3278,1.05636,1.45647,0.64782,0.53673,0.55676,0.3412,1.39847,1.13742,1.48129,9.91865e-05,9.91865e-05,9.91865e-05
