epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.459,1.68098,2.07296,1.79715,0.5145,0.43192,0.31896,0.15461,2.16085,3.70287,2.75072,0.000553682,0.000553682,0.000553682
2,1181.14,1.74118,1.71952,1.91787,0.71857,0.13763,0.14022,0.06747,2.47587,4.67526,3.09242,0.00105444,0.00105444,0.00105444
3,1777.57,1.70638,1.58084,1.93911,0.92358,0.65472,0.67109,0.41664,1.98729,1.92008,2.49039,0.00150018,0.00150018,0.00150018
4,2380.27,1.65948,1.53087,1.88754,0.95602,0.67789,0.70669,0.43306,1.87086,1.81682,2.37849,0.00141945,0.00141945,0.00141945
5,2958.76,1.61445,1.49631,1.85143,0.96353,0.67204,0.7052,0.45483,1.63076,1.7806,2.17858,0.00133693,0.00133693,0.00133693
6,3536.42,1.55952,1.40104,1.80674,0.96933,0.68375,0.71058,0.45215,1.84462,1.8509,2.29901,0.00125442,0.00125442,0.00125442
7,4194.82,1.53807,1.38423,1.8015,0.90183,0.47075,0.59345,0.33378,1.80386,2.55972,2.31365,0.0011719,0.0011719,0.0011719
8,4813.07,1.4919,1.32079,1.75537,0.95369,0.67496,0.74168,0.46488,1.53647,1.59504,2.08378,0.00108938,0.00108938,0.00108938
9,5431.02,1.49316,1.29611,1.74012,0.96329,0.68082,0.75299,0.46805,1.55327,1.54789,2.07367,0.00100687,0.00100687,0.00100687
10,6049.9,1.46385,1.24624,1.71392,0.98065,0.69107,0.77049,0.45815,1.58686,1.51325,2.10562,0.000924352,0.000924352,0.000924352
11,6654.96,1.40173,1.05444,1.82465,0.96414,0.68082,0.77097,0.49472,1.49726,1.38381,2.00588,0.000841835,0.000841835,0.000841835
12,7259.03,1.37342,1.00144,1.8078,0.98072,0.69107,0.7593,0.48484,1.49083,1.44497,2.01415,0.000759318,0.000759318,0.000759318
13,7857.45,1.37146,0.99605,1.80214,0.97103,0.68704,0.79349,0.50558,1.42523,1.31931,1.94121,0.000676802,0.000676802,0.000676802
14,8515.38,1.35567,0.97198,1.80423,0.96466,0.67933,0.78263,0.49801,1.39611,1.37749,1.91715,0.000594286,0.000594286,0.000594286
15,9132.14,1.33899,0.9573,1.7883,0.97124,0.69231,0.80329,0.50903,1.40708,1.28777,1.92933,0.000511769,0.000511769,0.000511769
16,9737.64,1.32609,0.93202,1.76025,0.96006,0.68521,0.80411,0.50656,1.36517,1.26114,1.88761,0.000429253,0.000429253,0.000429253
17,10333.9,1.31388,0.9062,1.75124,0.95461,0.70824,0.81399,0.52253,1.37274,1.23912,1.88586,0.000346736,0.000346736,0.000346736
18,10935.2,1.31212,0.88594,1.74216,0.94515,0.7101,0.81693,0.5179,1.37247,1.27689,1.87193,0.00026422,0.00026422,0.00026422
19,11531.6,1.30182,0.85823,1.73262,0.93682,0.72621,0.82095,0.52323,1.33502,1.19324,1.84464,0.000181703,0.000181703,0.000181703
20,12133.1,1.2827,0.83772,1.71434,0.95048,0.73059,0.83299,0.53352,1.32636,1.18892,1.8286,9.91865e-05,9.91865e-05,9.91865e-05
