epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,880.315,1.72441,2.40994,1.83302,0.79011,0.56388,0.62846,0.33255,2.47743,3.61985,3.05343,0.000554398,0.000554398,0.000554398
2,1756.52,1.85949,1.9935,2.0354,0.79288,0.4141,0.40896,0.23256,2.40939,4.07114,2.83391,0.00105512,0.00105512,0.00105512
3,2622.67,1.79384,1.8779,2.01161,0.8149,0.42291,0.43034,0.2558,2.04921,3.72547,2.55071,0.00150082,0.00150082,0.00150082
4,3520.4,1.70003,1.77224,1.94551,0.92421,0.67107,0.70241,0.42755,2.02127,3.59167,2.54533,0.00141945,0.00141945,0.00141945
5,4399.51,1.65817,1.62833,1.90063,0.95598,0.67254,0.70363,0.44721,1.97711,3.2943,2.46775,0.00133693,0.00133693,0.00133693
6,5301.47,1.6262,1.60595,1.88037,0.98042,0.69604,0.71375,0.45177,1.85648,3.58504,2.33311,0.00125442,0.00125442,0.00125442
7,6182.02,1.60266,1.58233,1.85119,0.96624,0.68282,0.71086,0.45482,1.75889,3.13699,2.28331,0.0011719,0.0011719,0.0011719
8,7052.85,1.55714,1.52595,1.81687,0.96314,0.68282,0.72053,0.46121,1.7849,2.78473,2.36631,0.00108938,0.00108938,0.00108938
9,7934.88,1.51766,1.45656,1.77873,0.95222,0.68135,0.72804,0.4603,1.8493,3.02713,2.3556,0.00100687,0.00100687,0.00100687
10,8821.13,1.4931,1.40387,1.76435,0.9621,0.67988,0.72738,0.46491,1.73633,2.68819,2.18641,0.000924352,0.000924352,0.000924352
11,9690.57,1.42726,1.1244,1.84661,0.97011,0.68282,0.74633,0.47718,1.70974,2.51443,2.15147,0.000841835,0.000841835,0.000841835
12,10555.7,1.3975,1.09826,1.82655,0.97798,0.6931,0.74986,0.48011,1.62991,2.45587,2.07727,0.000759318,0.000759318,0.000759318
13,11424.1,1.38683,1.08303,1.80634,0.97088,0.68722,0.75354,0.47028,1.6326,2.40658,2.09292,0.000676802,0.000676802,0.000676802
14,12286,1.37685,1.03963,1.80524,0.97504,0.68847,0.78218,0.49653,1.62415,2.3181,2.03735,0.000594286,0.000594286,0.000594286
15,13147.5,1.36134,1.03232,1.80288,0.95179,0.67254,0.76772,0.49354,1.584,2.33356,2.00375,0.000511769,0.000511769,0.000511769
16,14016,1.34263,0.98248,1.75775,0.97248,0.68722,0.77978,0.49672,1.58451,2.34036,2.00299,0.000429253,0.000429253,0.000429253
17,14879.6,1.3295,0.97853,1.75568,0.97228,0.68722,0.80182,0.51248,1.58469,2.2783,1.97423,0.000346736,0.000346736,0.000346736
18,15740.2,1.32172,0.93659,1.75846,0.96271,0.68246,0.80659,0.51847,1.53322,1.986,1.93367,0.00026422,0.00026422,0.00026422
19,16600.9,1.31011,0.94932,1.73157,0.96911,0.69114,0.80237,0.51268,1.50019,2.30054,1.90059,0.000181703,0.000181703,0.000181703
20,17463.3,1.30354,0.89592,1.73606,0.96734,0.69016,0.80619,0.52332,1.50747,2.08743,1.92409,9.91865e-05,9.91865e-05,9.91865e-05
