epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.102,1.51079,2.57951,1.55152,0.34552,0.14284,0.12505,0.06851,1.67432,2.5771,1.65827,0.000553562,0.000553562,0.000553562
2,765.717,1.60985,1.95507,1.57986,0.77359,0.32735,0.35444,0.19845,1.4659,1.74383,1.51871,0.00105432,0.00105432,0.00105432
3,1012.93,1.63366,1.75611,1.58726,0.80119,0.52399,0.66396,0.37304,1.47152,1.47026,1.53259,0.00150007,0.00150007,0.00150007
4,1276.22,1.61429,1.63078,1.58122,0.88835,0.58529,0.74999,0.40118,1.5175,1.41501,1.56603,0.00141945,0.00141945,0.00141945
5,1525.51,1.57126,1.56017,1.56438,0.85187,0.64526,0.82103,0.45428,1.4526,1.17131,1.49559,0.00133693,0.00133693,0.00133693
6,1783.15,1.54523,1.50123,1.53982,0.78724,0.6559,0.83849,0.50178,1.35185,0.99675,1.39896,0.00125442,0.00125442,0.00125442
7,2017.6,1.49952,1.4301,1.49702,0.72129,0.70954,0.82184,0.45864,1.37537,0.9711,1.39777,0.0011719,0.0011719,0.0011719
8,2266.72,1.47284,1.38218,1.46828,0.68658,0.66961,0.78408,0.45911,1.33369,0.97807,1.38665,0.00108938,0.00108938,0.00108938
9,2509.97,1.46029,1.33779,1.44923,0.78539,0.67014,0.7642,0.45906,1.3655,0.87372,1.38222,0.00100687,0.00100687,0.00100687
10,2743.05,1.42824,1.28794,1.44429,0.81801,0.6941,0.84588,0.48541,1.32052,0.87567,1.34191,0.000924352,0.000924352,0.000924352
11,2970.92,1.38865,1.11314,1.43408,0.79108,0.84031,0.83293,0.47553,1.35784,0.87063,1.35381,0.000841835,0.000841835,0.000841835
12,3197.56,1.38449,1.08302,1.42425,0.73573,0.79006,0.8544,0.48943,1.35555,0.85185,1.35715,0.000759318,0.000759318,0.000759318
13,3436.14,1.35316,1.04528,1.40426,0.82849,0.66714,0.85407,0.48995,1.3758,0.9264,1.39485,0.000676802,0.000676802,0.000676802
14,3677.38,1.33584,1.01334,1.39929,0.7835,0.86172,0.87445,0.51444,1.3343,0.81362,1.35043,0.000594286,0.000594286,0.000594286
15,3930.67,1.31864,0.9599,1.37058,0.84272,0.85221,0.88974,0.53576,1.27912,0.72741,1.31074,0.000511769,0.000511769,0.000511769
16,4191.69,1.31736,0.93549,1.36442,0.88356,0.8871,0.87544,0.52387,1.27559,0.72876,1.30011,0.000429253,0.000429253,0.000429253
17,4446.4,1.27654,0.89272,1.34252,0.82126,0.91149,0.90968,0.54384,1.26529,0.67709,1.30131,0.000346736,0.000346736,0.000346736
18,4706.28,1.24298,0.85845,1.31951,0.82376,0.91911,0.9209,0.55707,1.24654,0.6847,1.29402,0.00026422,0.00026422,0.00026422
19,4956.36,1.2267,0.81382,1.31084,0.8955,0.93703,0.92264,0.56483,1.25941,0.65072,1.29545,0.000181703,0.000181703,0.000181703
20,5201.33,1.22462,0.7959,1.29835,0.80163,0.85852,0.91807,0.55594,1.23854,0.66877,1.28577,9.91865e-05,9.91865e-05,9.91865e-05
