epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.993,2.11682,2.5391,1.53827,0.34007,0.32409,0.2658,0.10716,2.1623,2.70977,1.58617,0.000554246,0.000554246,0.000554246
2,648.096,2.04612,1.99988,1.48029,0.49558,0.37295,0.38119,0.15932,2.03224,2.07072,1.4969,0.00105497,0.00105497,0.00105497
3,1006.19,2.03152,1.87025,1.46412,0.55474,0.38886,0.42316,0.18287,2.05064,1.96344,1.50599,0.00150069,0.00150069,0.00150069
4,1368.66,1.98919,1.76962,1.43411,0.61499,0.41086,0.47989,0.21694,1.99115,1.77887,1.46641,0.00141945,0.00141945,0.00141945
5,1729.78,1.95855,1.6883,1.4116,0.60445,0.43004,0.48921,0.21798,1.96012,1.74472,1.46659,0.00133693,0.00133693,0.00133693
6,2039.62,1.91691,1.60776,1.38826,0.62603,0.48292,0.54641,0.25335,1.89833,1.69026,1.42032,0.00125442,0.00125442,0.00125442
7,2372.72,1.87855,1.52643,1.36119,0.66939,0.47356,0.55695,0.26528,1.89134,1.59298,1.40803,0.0011719,0.0011719,0.0011719
8,2687.56,1.86161,1.4842,1.34674,0.65938,0.51543,0.58033,0.28027,1.86513,1.55282,1.3748,0.00108938,0.00108938,0.00108938
9,2980.02,1.81654,1.43447,1.32794,0.64963,0.53299,0.59654,0.29681,1.83347,1.47662,1.38096,0.00100687,0.00100687,0.00100687
10,3261.57,1.80977,1.40113,1.32273,0.66768,0.54796,0.61319,0.29461,1.85855,1.43847,1.36993,0.000924352,0.000924352,0.000924352
11,3586.01,1.82144,1.37547,1.34469,0.66296,0.53065,0.59962,0.29612,1.84078,1.43407,1.37507,0.000841835,0.000841835,0.000841835
12,3877.53,1.78287,1.33296,1.32582,0.72611,0.53344,0.62033,0.30542,1.83534,1.41033,1.35727,0.000759318,0.000759318,0.000759318
13,4154.57,1.75994,1.28774,1.30782,0.67323,0.55264,0.62398,0.31115,1.84079,1.37821,1.35573,0.000676802,0.000676802,0.000676802
14,4405.1,1.73662,1.25374,1.30066,0.70785,0.54796,0.63526,0.31543,1.82565,1.34388,1.35328,0.000594286,0.000594286,0.000594286
15,4647.1,1.71865,1.20536,1.28925,0.71625,0.56996,0.64802,0.33238,1.78719,1.30451,1.32274,0.000511769,0.000511769,0.000511769
16,4891.52,1.6906,1.17278,1.26614,0.69733,0.59727,0.66447,0.33581,1.78938,1.29972,1.30986,0.000429253,0.000429253,0.000429253
17,5129.97,1.66263,1.12931,1.25505,0.73311,0.59514,0.67473,0.34611,1.77009,1.25701,1.30979,0.000346736,0.000346736,0.000346736
18,5364.08,1.63272,1.09891,1.24319,0.72807,0.6114,0.685,0.35076,1.77163,1.23734,1.30929,0.00026422,0.00026422,0.00026422
19,5591.88,1.61565,1.05551,1.22646,0.73663,0.60992,0.68664,0.36006,1.74369,1.21377,1.29574,0.000181703,0.000181703,0.000181703
20,5817.66,1.59006,1.03216,1.21203,0.7493,0.61259,0.70003,0.36419,1.7453,1.19158,1.29602,9.91865e-05,9.91865e-05,9.91865e-05
