epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,177.956,1.63475,3.01927,2.38945,1.34604,0,0.34066,0.17021,0.14679,0.07563,0.31013,0.16367,0.13748,0.06432,1.60725,3.25414,3.02851,1.36317,0,0.000659091,0.000659091,0.000659091
2,341.51,1.72558,3.14532,2.09994,1.37412,0,0.13942,0.15712,0.06491,0.03202,0.12635,0.14239,0.0504,0.01972,1.81356,4.36637,2.94691,1.4451,0,0.00128201,0.00128201,0.00128201
3,523.625,1.77342,3.18548,2.07001,1.43452,0,0.16472,0.16694,0.08381,0.0378,0.16795,0.17021,0.08185,0.03311,1.90468,3.73439,3.07917,1.56453,0,0.00186092,0.00186092,0.00186092
4,694.862,1.78073,3.20608,2.05332,1.43514,0,0.15992,0.13912,0.05607,0.02764,0.17499,0.13093,0.05875,0.02568,1.91163,3.66816,2.97765,1.55245,0,0.001802,0.001802,0.001802
5,865.966,1.74942,3.1337,1.96291,1.4061,0,0.13601,0.1162,0.0537,0.02562,0.12056,0.10638,0.04354,0.01836,1.88496,3.83406,2.97404,1.52971,0,0.001736,0.001736,0.001736
6,1027.16,1.70517,3.10579,1.93886,1.38704,0,0.10111,0.0982,0.0432,0.02177,0.08467,0.12439,0.03739,0.01845,1.75762,3.26703,2.98245,1.45531,0,0.00167,0.00167,0.00167
7,1217.21,1.68436,3.06569,1.92645,1.39182,0,0.13923,0.14403,0.05898,0.03051,0.14036,0.14239,0.05842,0.02931,1.75367,3.22971,3.39666,1.42421,0,0.001604,0.001604,0.001604
8,1407.27,1.6613,3.01016,1.87312,1.3742,0,0.25843,0.15876,0.10521,0.05476,0.23445,0.14403,0.09726,0.04795,1.69747,3.01084,2.66449,1.40926,0,0.001538,0.001538,0.001538
9,1585.16,1.63043,2.91789,1.82361,1.37011,0,0.22927,0.13584,0.08695,0.04834,0.24345,0.12275,0.09047,0.0413,1.69115,3.00042,2.6045,1.35392,0,0.001472,0.001472,0.001472
10,1768.78,1.65244,2.92455,1.79439,1.35316,0,0.17761,0.1293,0.06686,0.03544,0.20194,0.11784,0.07409,0.03516,1.70267,3.14049,2.43838,1.40894,0,0.001406,0.001406,0.001406
11,1961.26,1.62431,2.86017,1.76313,1.34094,0,0.20787,0.18985,0.09068,0.04819,0.20663,0.18331,0.0925,0.04344,1.6856,3.00751,3.40166,1.35812,0,0.00134,0.00134,0.00134
12,2142.52,1.58386,2.84779,1.75452,1.31016,0,0.18759,0.16694,0.08403,0.04409,0.2216,0.14894,0.08594,0.04154,1.66581,2.994,2.55961,1.35374,0,0.001274,0.001274,0.001274
